nasukati;nasukah;nasukaš;nasuka;nasukasmo;nasukajte;nasukaju
poredati;poredam;poredaš;poreda;poredasmo;poredajte;poredaju
vijugati;vijugam;vijugaše;vijugaše;vijugasmo;vijugate;vijugaju
umnažati;umnažah;umnažaše;neka umnaža;umnažasmo;umnažajte;neka umnažaju
primati;primam;primaše;primaše;primajmo;primajte;primahu
birati;biram;biraš;bira;birasmo;birate;biraju
brzati;-;-;-;-;-;-
fotokopirati;fotokopiram;fotokopiraše;fotokopiraše;fotokopirasmo;fotokopirate;fotokopiraše
okidati;okidam;okidaše;okidaše;okidasmo;okidate;okidaju
oksidirati;oksidiram;oksidiraše;oksidiraše;oksidirasmo;oksidirate;oksidiraše
javljati;javljah;javljaš;javljaše;javljasmo;javljaste;javljahu
solidarizirati;solidariziram;solidariziraše;solidariziraše;solidarizirasmo;solidarizirate;solidariziraše
distonirati;distoniram;distoniraše;distoniraše;distonirasmo;distonirate;distoniraše
oružati;oružam;oružaš;oružaše;oružasmo;oružate;oružaju
redigirati;redigiram;redigiraše;redigiraše;redigirasmo;redigirate;redigiraše
izlemati;izlemam;izlemaš;izlema;izlemasmo;izlemate;izlemaše
poribljavati;poribljavam;poribljavaš;poribljava;poribljavasmo;poribljavajte;poribljavaju
zvrcati;zvrcah;zvrcaše;zvrca;zvrcasmo;zvrcajte;zvrcahu
sukljati;sukljam;sukljaše;sukljaše;sukljasmo;sukljate;sukljaju
sekundirati;sekundiram;sekundiraše;sekundiraše;sekundirasmo;sekundirate;sekundiraju
simbolizirati;simboliziram;simboliziraše;simboliziraše;simbolizirasmo;simbolizirate;simboliziraše
fufljati;fufljah;fufljaše;fuflja;fufljasmo;fufljajte;fufljahu
katranizirati;katraniziram;katraniziraše;katraniziraše;katranizirasmo;katranizirate;katraniziraše
kulminirati;kulminiram;kulminiraše;kulminiraše;kulminirasmo;kulminirate;kulminiraše
griskati;griskam;griskaše;griskaše;-;-;griskaju
lupati;lupam;lupaše;lupaše;lupasmo;lupate;lupaju
tucati;tucam;tucaše;tucaše;tucasmo;tucate;tucaju
pogurati;poguram;poguraš;pogura;pogurasmo;pogurate;poguraše
proplivati;proplivam;proplivaš;propliva;proplivasmo;proplivate;proplivaše
prostituirati;prostituiram;prostituiraše;prostituiraše;prostituirasmo;prostituirate;prostituiraše
narastati;narastah;narastaj;narasta;narastajmo;narastajte;narastahu
urešavati;urešavah;urešavaše;neka urešava;urešavasmo;urešavajte;neka urešavaju
dezintegrirati;dezintegrirah;dezintegriraše;neka dezintegrira;dezintegrirasmo;dezintegrirajte;neka dezintegriraju
landrati;landram;landraše;landraše;landrasmo;landrate;landraju
zasnivati;zasnivam;zasnivaš;zasniva;zasnivasmo;zasnivajte;zasnivaju
svraćati;svraćam;svraćaše;svraćaše;-;-;svraćaju
pouzdati;pouzdam;pouzdaš;pouzda;pouzdasmo;pouzdate;pouzdaše
kontaminirati;kontaminirah;kontaminiraše;neka kontaminira;kontaminirasmo;kontaminirajte;neka kontaminiraju
kolektivizirati;kolektiviziram;kolektiviziraše;kolektiviziraše;kolektivizirasmo;kolektivizirate;kolektiviziraše
žigati;žigam;žigaše;žigaše;žigasmo;žigate;žigaju
opšivati;opšivah;opšivaše;neka opšiva;opšivasmo;opšivajte;neka opšivaju
osnivati;osnivam;osnivaše;osnivaše;osnivasmo;osnivate;osnivaju
dislocirati;dislociram;dislociraše;dislociraše;dislocirasmo;dislocirate;dislociraše
odstupati;odstupam;odstupaše;odstupaše;odstupasmo;odstupate;odstupaju
izmaštati;izmaštam;izmaštaš;izmašta;izmaštasmo;izmaštate;izmaštaše
izmanevrirati;izmanevriram;izmanevriraš;izmanevrira;izmanevrirasmo;izmanevrirate;izmanevriraše
rastavljati;rastavljah;rastavljaše;neka rastavlja;rastavljasmo;rastavljajte;neka rastavljaju
gizdati;gizdam;gizdaše;gizdaše;gizdasmo;gizdate;gizdaju
zasmetati;zasmetam;zasmetaš;zasmeta;zasmetasmo;zasmetajte;zasmetaju
inscenirati;insceniram;insceniraše;insceniraše;inscenirasmo;inscenirate;insceniraše
zajedati;zajedam;zajedaš;zajeda;zajedasmo;zajedajte;zajedaju
pentati;pentah;pentaš;penta;pentasmo;pentajte;pentahu
mekšati;mekšam;mekšaše;mekšaše;mekšasmo;mekšate;mekšaju
ocvjetati;ocvjetah;ocvjetaš;neka ocvjeta;ocvjetasmo;ocvjetajte;ocvjetaše
jecati;jecam;jecaše;jecaše;jecasmo;jecate;jecaju
dozovljavati;dozovljavah;dozovljavaše;neka dozovljava;dozovljavasmo;dozovljavajte;neka dozovljavaju
podsijecati;podsijecam;podsijecaše;podsijecaše;podsijecasmo;podsijecate;podsijecaju
poispadati;poispadam;poispadaš;poispada;poispadasmo;poispadate;poispadaše
ispozdravljati;ispozdravljam;ispozdravljaš;ispozdravlja;ispozdravljasmo;ispozdravljate;ispozdravljaše
obasjati;obasjam;obasjaš;obasja;obasjasmo;obasjate;obasjaše
odrastati;odrastam;odrastaš;odrastaše;odrastasmo;odrastate;odrastaju
inkomodirati;inkomodiram;inkomodiraše;inkomodiraše;inkomodirasmo;inkomodirate;inkomodiraše
obigravati;obigravam;obigravaše;obigravaše;obigravasmo;obigravate;obigravaju
portretirati;portretiram;portretiraše;portretiraše;portretirasmo;portretirate;portretiraju
dopuštati;dopuštam;dopuštaše;dopuštaše;-;dopuštate;dopuštahu
simulirati;simuliram;simuliraše;simuliraše;simulirasmo;simulirate;simuliraju
išetati;išetah;išetaš;išeta;išetasmo;išetajte;išetaše
raskomadati;raskomadam;raskomadaš;raskomada;raskomadasmo;raskomadate;raskomadat
predočavati;predočavah;predočavaše;neka predočava;predočavasmo;predočavajte;neka predočavaju
usvajati;usvajam;usvajaše;usvajaše;usvajasmo;usvajate;usvajaju
izgovarati;izgovarah;izgovaraš;izgovaraše;izgovarasmo;izgovaraste;izgovarahu
kotrljati;-;-;-;-;-;-
poprskati;poprskah;poprskaj;poprska;poprskajmo;poprskajte;poprskaju
durati;duram;duraše;duraše;durasmo;durate;duraju
petrificirati;petrificiram;petrificiraš;petrificiraše;petrificirasmo;petrificirate;petrificiraju
ažurirati;ažuriram;ažuriraše;ažuriraše;ažurirasmo;ažurirate;ažuriraše
obožavati;obožavam;obožavaš;obožavaše;obožavasmo;obožavate;obožavaju
promzmljati;promrmljam;promrmlja;promrmlja;-;-;-
racionalizirati;racionaliziram;racionaliziraše;racionaliziraše;racionalizirasmo;racionalizirate;racionaliziraše
znati;znadem;znadeš;znaše;znasmo;znaste;znat
utvarati;utvaram;utvaraše;utvaraše;utvarasmo;utvarate;utvaraju
udarati;udaram;udaraše;udaraše;udarasmo;udarate;udaraju
iščezavati;iščezavah;iščezavaše;iščezava;iščezavasmo;iščezavajte;iščezavaju
divinizirati;diviniziram;diviniziraše;diviniziraše;divinizirasmo;divinizirate;diviniziraše
poprodavati;poprodavah;poprodavaš;poprodava;poprodavasmo;poprodavaste;poprodavaju
izmasirati;izmasiram;izmasiraš;izmasira;izmasirasmo;izmasirate;izmasiraše
nađinđati;nađinđah;nađinđaš;nađinđa;nađinđasmo;nađinđajte;nađinđaše
denaturirati;denaturiram;denaturiraš;denaturiraše;denaturirasmo;denaturirate;denaturiraju
kuljati;kuljam;kuljaše;kuljaše;kuljasmo;kuljate;kuljaju
koncentrirati;koncentriram;koncentriraš;koncentriraše;koncentrirasmo;koncentrirate;koncentriraju
upozoravati;upozoravam;upozoravaše;upozoravaše;-;-;upozoravahu
bojkotirati;bojkotiram;bojkotiraše;bojkotiraše;bojkotirasmo;bojkotirate;bojkotiraše
islamizirati;islamiziram;islamiziraše;islamiziraše;islamizirasmo;islamizirate;islamiziraše
ranjavati;ranjavam;ranjavaše;ranjavaše;ranjavasmo;ranjavate;ranjavaju
pobrajati;pobrojavah;pobrojavaj;pobrojava;pobrojavajmo;pobrojavajte;pobrojavahu
izražavati;izražavam;izražavaš;izražavaše;izražavasmo;izražavajte;izražavahu
travestirati;travestiram;travestiraše;travestiraše;travestirasmo;travestirate;travestiraše
iscijepati;iscijepam;iscijepaš;iscijepa;iscijepasmo;iscijepate;iscijepaše
veličati;veličah;veličaše;veličaše;-;veličate;veličaju
ubrojavati;ubrojavah;ubrojavaše;neka ubrojava;ubrojavasmo;ubrojavajte;neka ubrojavaju
deportirati;deportiram;deportiraš;deportiraše;deportirasmo;deportirate;deportiraju
tinjati;tinjam;tinjaše;tinjaše;tinjasmo;tinjate;tinjaju
pauzirati;pauziram;pauziraše;pauziraše;pauzirasmo;pauzirate;pauziraše
frapirati;frapiram;frapiraš;frapiraše;frapirasmo;frapirate;frapiraju
parafirati;parafiram;parafiraše;parafiraše;parafirasmo;parafirate;parafiraše
ravnati;ravnam;ravnaš;ravnaše;ravnasmo;ravnate;ravnaju
kontribuirati;kontribuirah;kontribuiraše;neka kontribuira;kontribuirasmo;kontribuirajte;neka kontribuiraju
moderirati;moderiram;moderiraše;moderiraše;moderirasmo;moderirate;moderiraše
opovrgavati;opovrgavam;opovrgavaše;opovrgavaše;opovrgavasmo;opovrgavate;opovrgavaju
guštati;guštah;guštaše;gušta;guštasmo;guštajte;guštahu
krepati;krepam;krepaš;krepa;krepasmo;krepate;krepat
cjepkati;cjepkam;cjepkaše;cjepkaše;cjepkasmo;cjepkate;cjepkaju
namreškati;namreškam;namreškaš;namreška;namreškasmo;namreškate;namreškaše
zakrčkati;zakrčkah;zakrčka;zakrčka;zakrčkasmo;zakrčkajte;zakrčkaju
isprovocirati;isprovociram;isprovociraš;isprovocira;isprovocirasmo;isprovocirate;isprovociraše
determinirati;determiniram;determiniraše;determiniraše;determinirasmo;determinirate;determiniraše
rivalizirati;rivaliziram;rivaliziraše;rivaliziraše;rivalizirasmo;rivalizirate;rivaliziraše
gacati;gacam;gacaše;gacaše;gacasmo;gacate;gacaju
nadodati;nadodam;nadodaš;nadoda;nadodasmo;nadodate;nadodaše
pozadijevati;pozadijevam;pozadijevaš;pozadijeva;pozadijevasmo;pozadijevate;pozadijevaše
ofarbati;ofarbah;ofarbaše;neka ofarba;ofarbasmo;ofarbajte;neka ofarbaju
dolijati;dolijam;dolijaš;dolija;dolijasmo;dolijate;dolijaše
otjerati;otjeram;otjeraš;otjera;otjerasmo;otjerate;otjerat
stacionirati;stacioniram;stacioniraše;stacioniraše;stacionirasmo;stacionirate;stacioniraše
vulkanizirati;vulkaniziram;vulkaniziraše;vulkaniziraše;vulkanizirasmo;vulkanizirate;vulkaniziraše
poharati;poharam;poharaš;pohara;poharasmo;poharajte;poharaju
pardonirati;pardoniram;pardoniraše;pardoniraše;pardonirasmo;pardonirate;pardoniraše
izranjati;izranjah;izranjaše;izranja;izranjasmo;izranjajte;izranjahu
posjedati;posjedam;posjedaš;posjeda;posjedasmo;posjedajte;posjedaju
provijati;provijam;provijaš;provija;provijasmo;provijate;provijaše
prigledati;prigledam;prigledaš;prigleda;prigledasmo;prigledate;prigledaše
otimati;otimljem;otimlješ;otimaše;otimamo;otimajte;otimahu
lunjati;lunjam;lunjaše;lunjaše;lunjasmo;lunjate;lunjaju
brčkati;brčkah;brčkaše;-;brčkasmo;brčkajte;brčkahu
isipati;isipah;isipaš;isipa;isipasmo;isipajte;isipaše
dirigirati;dirigiram;dirigiraš;dirigiraše;dirigirasmo;dirigirate;dirigiraju
impregnirati;impregniram;impregniraše;impregniraše;impregnirasmo;impregnirate;impregniraše
prenavljati;prenavljam;prenavljaše;prenavljaše;prenavljasmo;prenavljate;prenavljaju
previđati;previđah;previđaše;neka previđa;previđasmo;previđajte;neka previđaju
zazidati;zazidam;zazidaš;zazida;zazidasmo;zazidate;zazidaše
ocrtati;ocrtah;ocrtaj;ocrta;ocrtajmo;ocrtajte;ocrtaše
ujedinjavati;ujedinjavah;ujedinjavaše;neka ujedinjava;ujedinjavasmo;ujedinjavajte;neka ujedinjavajaju
otkrivati;otkrivah;otkrivaše;otkrivaše;otkrivasmo;otkrivajte;otkrivahu
prokockati;prokockam;prokockaš;prokocka;prokockasmo;prokockate;prokockaše
uzrujavati;uzrujavam;uzrujavaš;neka uzrujava;uzrujavasmo;uzrujavajte;neka uzrujavaju
kontemplirati;kontemplirah;kontempliraše;kontemplira;kontemplirasmo;kontempliraste;kontemplirahu
relaksirati;relaksirah;relaksiraše;neka relaksira;relaksirasmo;relaksirajte;neka relaksiraju
sjedinjavati;sjedinjavah;sjedinjavaše;sjedinjava;sjedinjavasmo;sjedinjavaste;neka sjedinjavaju
raspravljati;raspravljam;raspravljaše;raspravlja;-;raspravljaste;raspravljahu
pecati;pecam;pecaše;peca;pecasmo;pecate;pecaju
retardirati;retardiram;retardiraše;retardiraše;retardirasmo;retardirate;retardiraše
dokotrljati;-;-;-;-;-;-
suptrahirati;suptrahirah;suptrahiraše;neka suptrahira;suptrahirasmo;suptrahirajte;neka suptrahiraju
ranžirati;ranžiram;ranžiraše;ranžiraše;ranžirasmo;ranžirate;ranžiraše
izmijenjati;izmijenjam;izmijenjaš;izmijenja;izmijenjasmo;izmijenjate;izmijenjahu
garnirati;garniram;garniraše;garniraše;garnirasmo;garnirate;garniraše
glavinjati;glavinjam;glavinjaše;glavinjaše;glavinjasmo;glavinjate;glavinjaju
ornamentirati;ornamentiram;ornamentiraše;ornamentiraše;ornamentirasmo;ornamentirate;ornamentiraše
kovzčati;kovrčah;kovrčaše;kovrča;kovrčasmo;kovrčajte;kovrčahu
zaljuljati;zaljuljah;zaljuljaj;zaljulja;zaljuljajmo;zaljuljajte;zaljuljaju
korigirati;korigirah;korigiraj;korigiraše;korigirajmo;korigirajte;korigirahu
grickati;grickam;grickaše;grickaše;grickasmo;grickate;grickaju
biflati;biflam;biflaše;biflaše;biflasmo;biflate;biflaju
sadržavati;sadržavam;sadržavaše;sadržavaše;sadržavasmo;sadržavate;sadržavahu
zvjerati;zvjeram;zvjeraše;zvjeraše;zvjerasmo;zvjerate;zvjeraju
uštrcati;uštrcam;uštrcaš;uštrca;uštrcasmo;uštrcate;uštrcaše
iskopčati;iskopčah;iskopčaš;iskopča;iskopčasmo;iskopčajte;iskopčaše
izribati;izribam;izribaš;izriba;izribasmo;izribate;izribaše
piskutati;piskutam;piskutaše;piskutaše;piskutasmo;piskutate;piskutaju
coprati;copram;copraše;copraše;coprasmo;coprate;copraju
lupetati;lupetam;lupetaše;lupetaše;lupetasmo;lupetate;lupetaju
zirkati;zirkam;zirkaše;zirkaše;zirkasmo;zirkate;zirkahu
odspavati;odspavah;odspavaš;odspava;odspavasmo;odspavajte;odspavaše
iskrzati;iskrzam;iskrzaš;iskrza;iskrzasmo;iskrzate;iskrzaše
ratificirati;ratificiram;ratificiraše;ratificiraše;ratificirasmo;ratificirate;ratificiraše
zasjati;zasjah;zasjaj;zasja;zasjajmo;zasjajte;zasjaju
koturati;koturah;koturaše;kotura;koturasmo;koturajte;koturahu
porazgovarati;porazgovaram;porazgovaraj;porazgovara;porazgovarasmo;porazgovarajte;porazgovaraše
šmirglati;šmirglah;šmirglaše;neka šmirgla;šmirglasmo;šmirglajte;šmirglajući
poubijati;poubijam;poubijaš;poubija;poubijasmo;poubijate;poubijaše
kreirati;kreiram;kreiraše;kreiraše;kreirasmo;kreirate;kreiraše
križati;križam;križaše;križaše;križasmo;križate;križahu
načinjati;načinjah;načinjaše;neka načinje;načinjasmo;načinjujte;neka načinju
sačuvati;sačuvah;sačuvaš;sačuva;sačuvasmo;sačuvajte;sačuvaše
lavirati;laviram;laviraše;laviraše;lavirasmo;lavirate;lavirahu
drmusati;drmusam;drmusaše;drmusaše;drmusasmo;drmusate;drmusaju
difamirati;difamiram;difamiraše;difamiraše;difamirasmo;difamirate;difamiraše
grudati;grudam;grudaše;grudaše;grudasmo;grudate;grudaju
pripucati;pripucam;pripucaš;pripuca;pripucasmo;pripucate;pripucaše
apsorbirati;apsorbiram;apsorbiraše;apsorbiraše;apsorbirasmo;apsorbirate;apsorbiraše
bauljati;bauljah;bauljaše;neka baulja;bauljasmo;bauljajte;neka bauljaju
ispričavati;ispričavah;ispričavaš;ispričavaše;ispričavasmo;ispričavajte;ispričavahu
zagrizati;zagrizah;zagrizaše;neka zagriza;zagrizasmo;zagrizajte;neka zagrizaju
prozivati;prozivljem;prozivlji;prozivlje;prozivljimo;prozivljite;prozivlju
izrešetati;izrešetam;izrešetaš;izrešeta;izrešetasmo;izrešetate;izrešetaše
situirati;situiram;situiraš;situiraše;situirasmo;situirate;situiraju
crtkati;crtkam;crtkaše;crtkaše;crtkasmo;crtkate;crtkaju
komadati;komadam;komadaše;komadaše;komadasmo;komadate;komadaju
kurblati;kurblam;kurblaše;kurblaše;kurblasmo;kurblate;kurblaju
guslati;guslam;guslaše;guslaše;guslasmo;guslate;guslaju
propjevati;propjevam;propjevaš;propjeva;propjevasmo;propjevate;propjevaše
uzimati;uzimljem;uzimlješ;uzimlje;uzimasmo;uzimljite;uzimlju
špijunirati;špijuniram;špijuniraše;špijuniraše;špijunirasmo;špijunirate;špijuniraju
loptati;loptam;loptaše;loptaše;loptasmo;loptate;loptaju
prizivati;prizivam;prizivaše;prizivaše;prizivasmo;prizivate;prizivaju
zbrljati;zbrljah;zbrljaše;zbrlja;zbrljasmo;zbrljajte;zbrljahu
kampirati;kampiram;kampiraše;kampiraše;kampirasmo;kampirate;kampiraju
razotkrivati;razotkrivah;razotkrivaš;neka razotkriva;razotkrivasmo;razotkrivajte;neka razotkrivaju
pričinjavati;pričinjavah;pričinjavaš;neka pričinjava;pričinjavasmo;pričinjavajte;neka pričinjavaju
raščupati;raščupah;raščupaj;raščupa;raščupajmo;raščupajte;raščupaše
dogurati;doguram;doguraš;dogura;dogurasmo;dogurate;doguraše
fulirati;fuliram;fuliraše;fuliraše;fulirasmo;fulirate;fuliraju
prosukljati;prosukljam;prosukljaš;prosuklja;prosukljasmo;prosukljate;prosukljaše
samozadovoljavati;samozadovoljavam;samozadovoljavaše;samozadovoljavaše;samozadovoljavasmo;samozadovoljavate;samozadovoljavaju
odvodnjavati;odvodnjavam;odvodnjavaše;odvodnjavaše;odvodnjavasmo;odvodnjavate;odvodnjavaju
prevenirati;prevenirah;preveniraše;neka prevenira;prevenirasmo;prevenirajte;neka preveniraju
podučavati;podučavah;podučavaše;podučava;podučavasmo;podučavajte;podučavahu
zakopčavati;zakopčavah;zakopčavaj;zakopčava;zakopčavajmo;zakopčavajte;zakopčavaju
bilancirati;bilancirah;bilanciraše;neka bilancira;bilancirasmo;bilancirajte;neka bilanciraju
pljačkati;pljačkah;pljačkaše;pljačkaše;pljačkasmo;pljačkajte;pljačkahu
mistificirati;mistificiram;mistificiraše;mistificiraše;mistificirasmo;mistificirate;mistificiraše
uslikati;uslikah;uslikaš;neka uslika;uslikasmo;uslikajte;neka uslikaju
očetkati;očetkah;očetkaš;očetka;očetkasmo;očetkajte;očetkaše
nosati;nosam;nosaše;nosaše;nosasmo;nosate;nosaju
kolidirati;kolidiram;kolidiraše;kolidiraše;kolidirasmo;kolidirate;kolidiraše
izdiktirati;izdiktiram;izdiktiraš;izdiktira;izdiktirasmo;izdiktirate;izdiktiraše
grušati;grušam;grušaše;grušaše;grušasmo;grušate;grušaju
konzultirati;konzultirah;konzultiraše;konzultira;konzultirasmo;konzultirajte;konzultirahu
izmotavati;izmotavah;izmotavaše;izmotava;izmotavasmo;izmotavajte;izmotavahu
načekati;načekam;načekaš;načeka;načekasmo;načekajte;načekaše
skapavati;skapavam;skapavaše;skapavaše;skapavasmo;skapavate;skapavaju
okončavati;okončavah;okončavaše;neka okončava;okončavasmo;okončavajte;neka okončavaju
limitirati;limitiram;limitiraš;limitiraše;limitirasmo;limitirate;limitiraju
dohvaćati;dohvaćah;dohvaćaše;neka dohvaća;dohvaćasmo;dohvaćajte;neka dohvaćaju
degažirati;degažiram;degažiraše;degažiraše;degažirasmo;degažirate;degažiraše
zavladati;zavladam;zavladaš;zavlada;zavladasmo;zavladate;zavladaše
isfrigati;isfrigah;isfrigaš;neka isfriga;isfrigasmo;isfrigajte;neka isfrigaju
bordižati;bordižam;bordižaše;bordižaše;bordižasmo;bordižate;bordižaju
predati;predam;predaš;predadne;predamo;predate;predat
iščačkati;iščačkah;iščačkaš;iščačka;iščačkasmo;iščačkajte;iščačkaše
razvodnjavati;razvodnjavam;razvodnjavaše;razvodnjavaše;razvodnjavasmo;razvodnjavate;razvodnjavaju
uštirkati;uštirkam;uštirkaš;uštirka;uštirkasmo;uštirkate;uštirkaše
drndati;drndam;drndaš;drndaše;drndasmo;drndate;drndahu
bjelasati;bjelasam;bjelasaše;bjelasaše;bjelasasmo;bjelasate;bjelasahu
nagrabljati;nagrabljam;nagrabljaš;nagrablja;nagrabljasmo;nagrabljate;nagrabljaše
rašpati;rašpah;rašpaše;neka rašpa;rašpasmo;rašpajte;neka rašpaju
izvarati;izvaram;izvaraš;izvara;izvarasmo;izvarate;izvaraše
snižavati;snižavah;snižavaše;neka snižava;snižavasmo;snižavajte;neka snižavaju
potkradati;potkradam;potkradaše;potkradaše;potkradasmo;potkradate;potkradaju
frcati;frcah;frcaše;frca;frcasmo;frcajte;frcahu
osjenčati;osjenčah;osjenčaj;osjenča;osjenčajmo;osjenčajte;osjenčaše
isprobati;isprobam;isprobaš;isproba;isprobasmo;isprobate;isprobaše
iskuhati;iskuham;iskuhaš;iskuha;iskuhasmo;iskuhate;iskuhaše
namotavati;namotavah;namotavaše;namotava;namotavasmo;namotavajte;namotavahu
blamirati;blamiram;blamiraše;blamira;blamirasmo;blamirajte;blamirahu
tapšati;tapšam;tapšaše;tapša;tapšasmo;tapšate;tapšaju
defilirati;defiliram;defiliraše;defiliraše;defilirasmo;defilirate;defiliraju
zaokupljati;zaokupljah;zaokupljaše;zaokuplja;zaokupljasmo;zaokupljajte;zaokupljahu
konstituirati;konstituirah;konstituiraše;konstituira;konstituirasmo;konstituirajte;konstituirahu
zapackati;zapackam;zapackaš;zapacka;zapackasmo;zapackate;zapackaše
vladati;vladah;vladaš;vladaše;vladajmo;vladate;vladahu
koštati;koštam;koštaše;koštaše;koštasmo;koštate;koštaju
iščetkati;iščetkah;iščetkaš;iščetka;iščetkasmo;iščetkajte;iščetkaše
slupati;slupam;slupaš;slupa;slupasmo;slupate;slupaše
naštimati;naštimah;naštimaš;neka naštima;naštimasmo;naštimajte;neka naštimaju
korespondirati;korespondiram;korespondiraše;korespondiraše;korespondirasmo;korespondirate;korespondiraše
propovijedati;propovijedah;propovijedaj;propovijedaše;propovijedajmo;propovijedaste;propovijedaju
poigrati;poigram;poigraš;poigra;poigrasmo;poigrate;poigraše
obavještavati;obavještavam;obavještavaše;obavještavaše;obavještavasmo;obavještavate;obavještavaju
studirati;studiram;studiraše;studiraše;studirasmo;studirate;studiraju
skandirati;skandiram;skandiraše;skandiraše;skandirasmo;skandirate;skandiraju
uzvitlati;uzvitlam;uzvitlaš;uzvitla;uzvitlasmo;uzvitlate;uzvitlaše
opremati;opremah;opremaše;oprema;opremasmo;opremajte;opremahu
provzšljati;provršljam;provršljaš;provršlja;provršljasmo;provršljate;provršljaše
liberalizirati;liberaliziram;liberaliziraše;liberaliziraše;liberalizirasmo;liberalizirate;liberaliziraše
okopavati;okopavam;okopavaše;okopavaše;okopavasmo;okopavate;okopavaju
kvalificirati;kvalificirah;kvalificiraš;kvalificiraše;kvalificirasmo;kvalificirajte;kvalificirahu
hazardirati;hazardiram;hazardiraše;hazardiraše;hazardirasmo;hazardirate;hazardiraše
zviždukati;zviždukam;zviždukaše;zviždukaše;zviždukasmo;zviždukate;zviždukaju
kandidirati;kandidirah;kandidiraše;kandidira;kandidirasmo;kandidirajte;kandidirahu
gegucati;gegucam;gegucaše;gegucaše;gegucasmo;gegucate;gegucaju
poguravati;poguravah;poguravaše;pogurava;poguravasmo;poguravaste;poguravahu
zaudarati;zaudaram;zaudaraše;zaudaraše;zaudarasmo;zaudarate;zaudaraju
kimati;kimah;kimaš;kimaše;kimasmo;kimajte;kimahu
zadati;zadam;zadaš;zadade;zadamo;zadaste;zadat
sumirati;sumiram;sumiraše;sumiraše;sumirasmo;sumirate;sumiraše
padati;padam;padaše;padaše;padasmo;padate;padahu
pošiljati;pošiljam;pošiljaše;pošiljaše;pošiljasmo;pošiljate;pošiljaju
vidati;vidam;vidaše;vidaše;vidasmo;vidate;vidaju
bockati;bockam;bockaše;bocka;bockasmo;bockate;bockaju
naganjati;naganjah;naganjaš;naganja;naganjamo;naganjajte;naganjaju
zbrkati;zbrkah;zbrkaj;zbrka;zbrkajmo;zbrkajte;zbrkaju
otplivati;otplivam;otplivaš;otpliva;otplivasmo;otplivate;otplivaše
pripuštati;pripuštah;pripuštaše;neka pripušta;pripuštasmo;pripuštajte;neka pripuštaju
