nasukati;nasukan;nasukana;nasukano;nasukani;nasukane;nasukaju
birati;biram;biraš;bira;birasmo;birate;biraju
brzati;-;-;-;-;-;-
fotokopirati;fotokopiram;fotokopiraše;fotokopiraše;fotokopirasmo;fotokopirate;fotokopiraše
okidati;okidan;okidana;okidano;okidani;okidane;okidajući
oksidirati;oksidiran;oksidirana;oksidirano;oksidirani;oksidirane;oksidirajući
javljati;javljah;javljaš;javljaše;javljasmo;javljaste;javljahu
solidarizirati;solidariziram;solidariziraše;solidariziraše;solidarizirasmo;solidarizirate;solidariziraše
distonirati;distoniram;distoniraše;distoniraše;distonirasmo;distonirate;distoniraše
oružati;oružam;oružaš;oružaše;oružasmo;oružate;oružaju
redigirati;redigiram;redigiraše;redigiraše;redigirasmo;redigirate;redigiraše
izlemati;izleman;izlemana;izlemano;izlemani;izlemane;izlemaše
poribljavati;poribljavam;poribljavaš;poribljava;poribljavasmo;poribljavajte;poribljavaju
zvrcati;zvrcao;zvrcala;zvrcalo;zvrcali;zvrcale;zvrcajući
sukljati;sukljam;sukljaše;sukljaše;sukljasmo;sukljate;sukljaju
sekundirati;sekundiram;sekundiraše;sekundiraše;sekundirasmo;sekundirate;sekundiraju
simbolizirati;simboliziram;simboliziraše;simboliziraše;simbolizirasmo;simbolizirate;simboliziraše
fufljati;fufljao;fufljala;fufljalo;fufljali;fufljale;fufljajući
katranizirati;katraniziram;katraniziraše;katraniziraše;katranizirasmo;katranizirate;katranizirajući
kulminirati;kulminiran;kulminirana;kulminirano;kulminirani;kulminirane;kulminirajući
griskati;griskam;griskaše;griskaše;-;-;griskaju
lupati;lupan;lupana;lupano;lupani;lupane;lupaju
tucati;tucam;tucaše;tucaše;tucasmo;tucana;tucaju
pogurati;poguran;pogurana;pogurano;pogurani;pogurane;poguraše
proplivati;proplivam;proplivaš;propliva;proplivasmo;proplivate;proplivaše
prostituirati;prostituiram;prostituiraše;prostituiraše;prostituirasmo;prostituirate;prostituiraše
narastati;narastah;narastaj;narastalo;narastajmo;narastale;narastajući
urešavati;urešavan;urešavana;urešavano;urešavani;urešavane;urešavajući
dezintegrirati;dezintegriravši;dezintegrirana;dezintegrirano;dezintegrirani;dezintegrirane;dezintegrirajući
landrati;landram;landraše;landraše;landrasmo;landrate;landrajući
zasnivati;zasnivam;zasnivaš;zasniva;zasnivasmo;zasnivajte;zasnivaju
svraćati;svraćam;svraćaše;svraćaše;-;-;svraćaju
pouzdati;pouzdam;pouzdaš;pouzda;pouzdasmo;pouzdate;pouzdaše
kontaminirati;kontaminiran;kontaminirana;kontaminirano;kontaminirani;kontaminirane;kontaminirajući
kolektivizirati;kolektiviziran;kolektivizirana;kolektivizirano;kolektivizirani;kolektivizirane;kolektivizirajući
žigati;žigan;žigana;žigano;žigani;žigane;žigajući
opšivati;opšivan;opšivana;opšivano;opšivani;opšivane;opšivajući
osnivati;osnivan;osnivana;osnivano;osnivani;osnivane;osnujući
dislocirati;dislociram;dislociraše;dislociraše;dislocirasmo;dislocirate;dislociraše
odstupati;odstupam;odstupaše;odstupaše;odstupasmo;odstupate;odstupajući
izmaštati;izmaštam;izmaštana;izmaštano;izmaštani;izmaštane;izmaštaše
izmanevrirati;izmanevriraavši;izmanevrirana;izmanevrirano;izmanevrirani;izmanevrirane;izmanevriraše
rastavljati;rastavljan;rastavljana;rastavljano;rastavljani;rastavljane;rastavljajući
gizdati;gizdam;gizdaše;gizdaše;gizdasmo;gizdate;gizdajući
zasmetati;zasmetam;zasmetaš;zasmeta;zasmetasmo;zasmetajte;zasmetaju
inscenirati;insceniram;insceniraše;insceniraše;inscenirasmo;inscenirate;insceniraše
zajedati;zajedam;zajedaš;zajeda;zajedasmo;zajedajte;zajedaju
pentati;pentao;pentala;pentalo;pentali;pentale;pentajući
mekšati;mekšam;mekšaše;mekšaše;mekšasmo;mekšana;mekšajući
ocvjetati;ocvjetavši;ocvjetana;ocvjetano;ocvjetani;ocvjetane;ocvjetaše
jecati;jecam;jecaše;jecaše;jecasmo;jecate;jecaju
dozovljavati;dozovljavan;dozovljavana;dozovljavano;dozovljavani;dozovljavane;dozovljavajući
podsijecati;podsijecan;podsijecana;podsijecano;podsijecani;podsijecane;podsijecajući
poispadati;poispadam;poispadaš;poispada;poispadasmo;poispadate;poispadaše
ispozdravljati;ispozdravljan;ispozdravljana;ispozdravljano;ispozdravljani;ispozdravljane;ispozdravljaše
obasjati;obasjam;obasjaš;obasja;obasjasmo;obasjate;obasjaše
odrastati;odrastam;odrastaš;odrastaše;odrastasmo;odrastate;odrastaju
inkomodirati;inkomodiran;inkomodirana;inkomodirano;inkomodirani;inkomodirane;inkomodirajući
obigravati;obigravam;obigravaše;obigravaše;obigravasmo;obigravate;obigravajući
portretirati;portretiram;portretiraše;portretiraše;portretirasmo;portretirate;portretiraju
dopuštati;dopuštam;dopuštaše;dopuštaše;-;dopuštana;dopuštahu
simulirati;simuliram;simuliraše;simuliraše;simulirasmo;simulirana;simuliraju
išetati;išetavši;išetaš;išetalo;išetali;išetajte;išetaše
raskomadati;raskomadam;raskomadaš;raskomada;raskomadasmo;raskomadate;raskomadat
predočavati;predočavavši;predočavana;predočavano;predočavani;predočavane;predočavajući
usvajati;usvajam;usvajaše;usvajaše;usvajasmo;usvajana;usvajaju
izgovarati;izgovaran;izgovarana;izgovarano;izgovarani;izgovarane;izgovarahu
kotrljati;-;-;-;-;-;-
poprskati;poprskah;poprskaj;poprska;poprskajmo;poprskajte;poprskaju
durati;duram;duraše;duraše;durasmo;durate;duraju
petrificirati;petrificiram;petrificiraš;petrificiraše;petrificirasmo;petrificirate;petrificiraju
ažurirati;ažuriram;ažuriraše;ažuriraše;ažurirasmo;ažurirate;ažuriraše
obožavati;obožavam;obožavaš;obožavaše;obožavasmo;obožavate;obožavaju
promzmljati;promrmljam;promrmlja;promrmlja;-;-;-
racionalizirati;racionaliziram;racionaliziraše;racionaliziraše;racionalizirasmo;racionalizirate;racionaliziraše
znati;znadem;znadeš;znaše;znasmo;znaste;znat
utvarati;utvaram;utvaraše;utvaraše;utvarasmo;utvarate;utvaraju
udarati;udaram;udaraše;udaraše;udarasmo;udarane;udaraju
iščezavati;iščezavah;iščezavaše;iščezava;iščezavasmo;iščezavajte;iščezavaju
divinizirati;diviniziram;diviniziraše;diviniziraše;divinizirasmo;divinizirate;diviniziraše
poprodavati;poprodavah;poprodavaš;poprodava;poprodavasmo;poprodavaste;poprodavajući
izmasirati;izmasiran;izmasirana;izmasirano;izmasirani;izmasirane;izmasiraše
nađinđati;nađinđavši;nađinđana;nađinđano;nađinđani;nađinđane;nađinđaše
denaturirati;denaturiram;denaturiraš;denaturiraše;denaturirasmo;denaturirate;denaturiraju
kuljati;kuljam;kuljaše;kuljaše;kuljasmo;kuljate;kuljajući
koncentrirati;koncentriram;koncentriraš;koncentriraše;koncentrirasmo;koncentrirate;koncentriraju
upozoravati;upozoravam;upozoravaše;upozoravaše;-;upozoravana;upozoravahu
bojkotirati;bojkotiram;bojkotiraše;bojkotiraše;bojkotirasmo;bojkotirate;bojkotiraše
islamizirati;islamiziran;islamizirana;islamizirano;islamizirani;islamizirane;islamizirajući
ranjavati;ranjavam;ranjavaše;ranjavaše;ranjavasmo;ranjavana;ranjavaju
pobrajati;pobrojavan;pobrojavaj;pobrojavano;pobrojavajmo;pobrojavane;pobrojavajući
izražavati;izražavan;izražavana;izražavaše;izražavani;izražavane;izražavajući
travestirati;travestiram;travestiraše;travestiraše;travestirasmo;travestirate;travestiraše
iscijepati;iscijepam;iscijepaš;iscijepa;iscijepasmo;iscijepate;iscijepaše
veličati;veličah;veličaše;veličaše;-;veličana;veličaju
ubrojavati;ubrojavan;ubrojavana;ubrojavano;ubrojavani;ubrojavane;ubrojavajući
deportirati;deportiram;deportiraš;deportiraše;deportirasmo;deportirate;deportiraju
tinjati;tinjam;tinjaše;tinjaše;tinjasmo;tinjate;tinjaju
pauzirati;pauziram;pauziraše;pauziraše;pauzirasmo;pauzirate;pauziraše
frapirati;frapiram;frapiraš;frapiraše;frapirasmo;frapirate;frapiraju
parafirati;parafiram;parafiraše;parafiraše;parafirasmo;parafirate;parafiraše
ravnati;ravnam;ravnaš;ravnaše;ravnasmo;ravnate;ravnaju
kontribuirati;kontribuiravši;kontribuirana;kontribuirano;kontribuirani;kontribuirane;kontribuirajući
moderirati;moderiram;moderiraše;moderiraše;moderirasmo;moderirate;moderiraše
opovrgavati;opovrgavam;opovrgavaše;opovrgavaše;opovrgavasmo;opovrgavana;opovrgavaju
guštati;guštan;guštana;guštano;guštani;guštane;guštajući
krepati;krepam;krepaš;krepa;krepasmo;krepate;krepat
cjepkati;cjepkam;cjepkaše;cjepkaše;cjepkasmo;cjepkana;cjepkaju
namreškati;namreškam;namreškaš;namreška;namreškasmo;namreškate;namreškaše
zakrčkati;zakrčkavši;zakrčkala;zakrčkala;zakrčkali;zakrčkala;zakrčkala
isprovocirati;isprovociran;isprovocirana;isprovocirano;isprovocirani;isprovocirane;isprovociraše
determinirati;determiniram;determiniraše;determiniraše;determinirasmo;determinirate;determiniraše
rivalizirati;rivaliziram;rivaliziraše;rivaliziraše;rivalizirasmo;rivalizirate;rivaliziraše
gacati;gacan;gacana;gacano;gacani;gacane;gacajući
nadodati;nadodan;nadodana;nadoda;nadodani;nadodane;nadodaše
pozadijevati;pozadijevam;pozadijevaš;pozadijeva;pozadijevasmo;pozadijevana;pozadijevaše
ofarbati;ofarbavši;ofarbana;ofarbano;ofarbali;ofarbane;neka ofarbaju
dolijati;dolijam;dolijaš;dolija;dolijasmo;dolijate;dolijaše
otjerati;otjeram;otjeraš;otjera;otjerasmo;otjerate;otjerat
stacionirati;stacioniram;stacioniraše;stacioniraše;stacionirasmo;stacionirate;stacioniraše
vulkanizirati;vulkaniziram;vulkaniziraše;vulkaniziraše;vulkanizirasmo;vulkanizirate;vulkaniziraše
poharati;poharam;poharaš;pohara;poharasmo;poharajte;poharaju
pardonirati;pardoniram;pardoniraše;pardoniraše;pardonirasmo;pardonirate;pardoniraše
izranjati;izranjah;izranjala;izranjalo;izranjali;izranjale;izranjajući
posjedati;posjedam;posjedaš;posjeda;posjedasmo;posjedajte;posjedaju
provijati;provijam;provijaš;provija;provijasmo;provijana;provijaše
prigledati;prigledam;prigledaš;prigleda;prigledasmo;prigledate;prigledaše
otimati;otiman;otimana;otimano;otimani;otimane;otimahu
lunjati;lunjam;lunjaše;lunjaše;lunjasmo;lunjate;lunjajući
brčkati;brčkao;brčkala;brčkalo;brčkali;brčkajte;brčkajući
isipati;isipavši;isipana;isipano;isipani;isipane;isipaše
dirigirati;dirigiram;dirigiraš;dirigiraše;dirigirasmo;dirigirate;dirigiraju
impregnirati;impregniram;impregniraše;impregniraše;impregnirasmo;impregnirate;impregniraše
prenavljati;prenavljam;prenavljaše;prenavljaše;prenavljasmo;prenavljate;prenavljaju
previđati;previđan;previđana;previđano;previđani;previđane;previđajući
zazidati;zazidan;zazidaš;zazidano;zazidasmo;zazidane;zazidaše
ocrtati;ocrtah;ocrtaj;ocrtano;ocrtajmo;ocrtane;ocrtaše
ujedinjavati;ujedinjavan;ujedinjavana;ujedinjavano;ujedinjavani;ujedinjavane;ujedinjavajući
otkrivati;otkrivan;otkrivana;otkrivano;otkrivani;otkrivane;otkrivahu
prokockati;prokockam;prokockaš;prokocka;prokockasmo;prokockana;prokockaše
uzrujavati;uzrujavavši;uzrujavana;uzrujavano;uzrujavani;uzrujavane;neka uzrujavaju
kontemplirati;kontempliravši;kontemplirana;kontemplirano;kontemplirani;kontemplirane;kontemplirajući
relaksirati;relaksiravši;relaksirana;relaksirano;relaksirani;relaksirane;relaksirajući
sjedinjavati;sjedinjavavši;sjedinjavana;sjedinjavano;sjedinjavani;sjedinjavane;sjedinjavajući
raspravljati;raspravljam;raspravljaše;raspravlja;-;raspravljana;raspravljahu
pecati;pecan;pecana;peca;pecani;pecana;pecajući
retardirati;retardiram;retardiraše;retardiraše;retardirasmo;retardirate;retardiraše
dokotrljati;-;-;-;-;-;-
suptrahirati;suptrahiravši;suptrahirana;suptrahirano;suptrahirani;suptrahirane;neka suptrahiraju
ranžirati;ranžiram;ranžiraše;ranžiraše;ranžirasmo;ranžirate;ranžiraše
izmijenjati;izmijenjan;izmijenjana;izmijenjano;izmijenjani;izmijenjane;izmijenjahu
garnirati;garniram;garniraše;garniraše;garnirasmo;garnirate;garniraše
glavinjati;glavinjam;glavinjaše;glavinjaše;glavinjasmo;glavinjate;glavinjaju
ornamentirati;ornamentiram;ornamentiraše;ornamentiraše;ornamentirasmo;ornamentirate;ornamentiraše
kovzčati;kovrčao;kovrčala;kovrčalo;kovrčali;kovrčale;kovrčajući
zaljuljati;zaljuljah;zaljuljaj;zaljulja;zaljuljajmo;zaljuljajte;zaljuljaju
korigirati;korigirah;korigiraj;korigiraše;korigirajmo;korigirajte;korigirahu
grickati;grickam;grickaše;grickaše;grickasmo;grickana;grickajući
biflati;biflam;biflaše;biflaše;biflasmo;biflana;biflaju
sadržavati;sadržavam;sadržavaše;sadržavaše;sadržavasmo;sadržavate;sadržavahu
zvjerati;zvjeram;zvjeraše;zvjeraše;zvjerasmo;zvjerate;zvjerajući
uštrcati;uštrcam;uštrcaš;uštrca;uštrcasmo;uštrcana;uštrcaše
iskopčati;iskopčavši;iskopčana;iskopčano;iskopčani;iskopčane;iskopčaše
izribati;izriban;izribana;izribano;izribani;izribane;izribaše
piskutati;piskutam;piskutaše;piskutaše;piskutasmo;piskutate;piskutajući
coprati;copram;copraše;copraše;coprasmo;coprate;copraju
lupetati;lupetam;lupetaše;lupetaše;lupetasmo;lupetate;lupetajući
zirkati;zirkam;zirkaše;zirkaše;zirkasmo;zirkate;zirkajući
odspavati;odspavavši;odspavala;odspavalo;odspavali;odspavale;odspavaše
iskrzati;iskrzan;iskrzana;iskrzano;iskrzani;iskrzane;iskrzaše
ratificirati;ratificiram;ratificiraše;ratificiraše;ratificirasmo;ratificirate;ratificiraše
zasjati;zasjah;zasjaj;zasja;zasjajmo;zasjajte;zasjaju
koturati;koturan;koturana;koturano;koturani;koturane;koturahu
porazgovarati;porazgovaram;porazgovaraj;porazgovara;porazgovarasmo;porazgovarajte;porazgovaraše
šmirglati;šmirglan;šmirglana;šmirglano;šmirglani;šmirglane;šmirglajući
poubijati;poubijam;poubijaš;poubija;poubijasmo;poubijana;poubijaše
kreirati;kreiran;kreirana;kreirano;kreirani;kreirane;kreirajući
križati;križam;križaše;križano;križasmo;križane;križahu
načinjati;načinjan;načinjana;načinjano;načinjani;načinjane;načinjući
sačuvati;sačuvah;sačuvaš;sačuva;sačuvasmo;sačuvajte;sačuvaše
lavirati;laviran;lavirana;lavirano;lavirani;lavirane;lavirajući
drmusati;drmusam;drmusaše;drmusaše;drmusasmo;drmusana;drmusaju
difamirati;difamiram;difamiraše;difamiraše;difamirasmo;difamirate;difamiraše
grudati;grudan;grudana;grudano;grudani;grudane;grudajući
pripucati;pripucam;pripucaš;pripuca;pripucasmo;pripucate;pripucaše
apsorbirati;apsorbiram;apsorbiraše;apsorbiraše;apsorbirasmo;apsorbirate;apsorbiraše
bauljati;bauljao;bauljala;bauljalo;bauljali;bauljale;neka bauljaju
ispričavati;ispričavan;ispričavana;ispričavano;ispričavani;ispričavane;ispričavahu
zagrizati;zagrizan;zagrizana;zagrizano;zagrizani;zagrizane;zagrizajući
prozivati;prozivljem;prozivlji;prozivlje;prozivljimo;prozivljite;prozivlju
izrešetati;izrešetam;izrešetana;izrešetano;izrešetani;izrešetane;izrešetaše
situirati;situiram;situiraš;situiraše;situirasmo;situirate;situiraju
crtkati;crtkan;crtkana;crtkano;crtkani;crtkane;crtkajući
komadati;komadam;komadana;komadaše;komadani;komadane;komadajući
kurblati;kurblam;kurblaše;kurblaše;kurblasmo;kurblate;kurblajući
guslati;guslam;guslaše;guslaše;guslasmo;guslate;guslajući
propjevati;propjevam;propjevaš;propjeva;propjevasmo;propjevate;propjevaše
uzimati;uzimljem;uzimlješ;uzimlje;uzimasmo;uzimana;uzimlju
špijunirati;špijuniram;špijuniraše;špijuniraše;špijunirasmo;špijunirana;špijuniraju
loptati;loptam;loptaše;loptaše;loptasmo;loptate;loptajući
prizivati;prizivam;prizivaše;prizivaše;prizivasmo;prizivate;prizivaju
zbrljati;zbrljan;zbrljana;zbrljano;zbrljani;zbrljane;zbrljajući
kampirati;kampiran;kampirana;kampirano;kampirani;kampirane;kampirajući
razotkrivati;razotkrivavši;razotkrivana;razotkrivano;razotkrivani;razotkrivane;razotkrivajući
pričinjavati;pričinjavao;pričinjavala;pričinjavalo;pričinjavali;pričinjavale;pričinjavajući
raščupati;raščupah;raščupaj;raščupa;raščupajmo;raščupajte;raščupaše
dogurati;doguran;dogurana;dogurano;dogurani;dogurane;doguraše
fulirati;fuliram;fuliraše;fuliraše;fulirasmo;fulirate;fulirajući
prosukljati;prosukljam;prosukljaš;prosuklja;prosukljasmo;prosukljate;prosukljaše
samozadovoljavati;samozadovoljavam;samozadovoljavaše;samozadovoljavaše;samozadovoljavasmo;samozadovoljavana;samozadovoljavaju
odvodnjavati;odvodnjavan;odvodnjavana;odvodnjavano;odvodnjavani;odvodnjavane;odvodnjavajući
prevenirati;preveniravši;prevenirana;prevenirano;prevenirani;prevenirane;prevenirajući
podučavati;podučavan;podučavana;podučavano;podučavani;podučavane;podučavahu
zakopčavati;zakopčavah;zakopčavaj;zakopčava;zakopčavajmo;zakopčavajte;zakopčavaju
bilancirati;bilanciravši;bilancirana;bilancirano;bilancirani;bilancirane;bilancirajući
pljačkati;pljačkah;pljačkana;pljačkano;pljačkasmo;pljačkane;pljačkahu
mistificirati;mistificiran;mistificirana;mistificirano;mistificirani;mistificirane;mistificirajući
uslikati;uslikavši;uslikana;uslikano;uslikani;uslikane;neka uslikaju
očetkati;očetkavši;očetkana;očetkano;očetkani;očetkane;očetkaše
nosati;nosan;nosana;nosano;nosani;nosane;nosajući
kolidirati;kolidiran;kolidirana;kolidirano;kolidirani;kolidirane;kolidirajući
izdiktirati;izdiktiran;izdiktirana;izdiktirano;izdiktirani;izdiktirane;izdiktiraše
grušati;grušam;grušaše;grušaše;grušasmo;grušate;grušajući
konzultirati;konzultiravši;konzultirana;konzultirano;konzultirani;konzultirane;konzultirajući
izmotavati;izmotavan;izmotavana;izmotavano;izmotavani;izmotavane;izmotavajući
načekati;načekavši;načekaš;načekalo;načekasmo;načekale;načekaše
skapavati;skapavam;skapavaše;skapavaše;skapavasmo;skapavate;skapavaju
okončavati;okončavavši;okončavana;okončavano;okončavani;okončavane;okončavajući
limitirati;limitiram;limitiraš;limitiraše;limitirasmo;limitirate;limitiraju
dohvaćati;dohvaćan;dohvaćana;dohvaćano;dohvaćani;dohvaćane;dohvaćajući
degažirati;degažiram;degažiraše;degažiraše;degažirasmo;degažirate;degažiraše
zavladati;zavladam;zavladaš;zavlada;zavladasmo;zavladate;zavladaše
isfrigati;isfrigavši;isfrigana;isfrigano;isfrigani;isfrigane;neka isfrigaju
bordižati;bordižam;bordižaše;bordižaše;bordižasmo;bordižate;bordižaju
predati;predam;predaš;predadne;predamo;predate;predat
iščačkati;iščačkavši;iščačkana;iščačkano;iščačkani;iščačkane;iščačkaše
razvodnjavati;razvodnjavam;razvodnjavaše;razvodnjavaše;razvodnjavasmo;razvodnjavana;razvodnjavaju
uštirkati;uštirkam;uštirkaš;uštirka;uštirkasmo;uštirkana;uštirkaše
drndati;drndam;drndaš;drndaše;drndasmo;drndate;drndahu
bjelasati;bjelasam;bjelasaše;bjelasaše;bjelasasmo;bjelasate;bjelasajući
nagrabljati;nagrabljan;nagrabljana;nagrabljano;nagrabljani;nagrabljane;nagrabljaše
rašpati;rašpan;rašpana;rašpano;rašpani;rašpane;rašpajući
izvarati;izvaran;izvarana;izvarano;izvarani;izvarane;izvaraše
snižavati;snižavavši;snižavana;snižavano;snižavani;snižavane;snižavajući
potkradati;potkradam;potkradaše;potkradaše;potkradasmo;potkradana;potkradaju
frcati;frcao;frcaše;frca;frcali;frcajte;frcajući
osjenčati;osjenčah;osjenčaj;osjenča;osjenčajmo;osjenčajte;osjenčajući
isprobati;isproban;isprobana;isprobano;isprobani;isprobane;isprobaše
iskuhati;iskuhan;iskuhana;iskuha;iskuhani;iskuhane;iskuhaše
namotavati;namotavan;namotavana;namotavano;namotavani;namotavane;namotavahu
blamirati;blamirao;blamirana;blamirano;blamirani;blamirane;blamirajući
tapšati;tapšam;tapšaše;tapša;tapšasmo;tapšate;tapšaju
defilirati;defiliram;defiliraše;defiliraše;defilirasmo;defilirate;defiliraju
zaokupljati;zaokupljan;zaokupljana;zaokupljano;zaokupljani;zaokupljane;zaokupljajući
konstituirati;konstituiravši;konstituirana;konstituirano;konstituirani;konstituirane;konstituirajući
zapackati;zapackam;zapackana;zapackano;zapackani;zapackane;zapackaše
vladati;vladah;vladaš;vladaše;vladajmo;vladale;vladahu
koštati;koštam;koštaše;koštaše;koštasmo;koštate;koštajući
iščetkati;iščetkavši;iščetkana;iščetkano;iščetkani;iščetkane;iščetkaše
slupati;slupam;slupaš;slupa;slupasmo;slupana;slupaše
naštimati;naštimavši;naštimana;naštimano;naštimani;naštimane;neka naštimaju
korespondirati;korespondiram;korespondiraše;korespondiraše;korespondirasmo;korespondirate;korespondiraše
propovijedati;propovijedah;propovijedaj;propovijedaše;propovijedajmo;propovijedane;propovijedaju
poigrati;poigram;poigraš;poigra;poigrasmo;poigrate;poigraše
obavještavati;obavještavan;obavještavana;obavještavano;obavještavani;obavještavane;obavještavajući
studirati;studiram;studiraše;studiraše;studirasmo;studirate;studiraju
skandirati;skandiram;skandiraše;skandiraše;skandirasmo;skandirana;skandiraju
uzvitlati;uzvitlam;uzvitlaš;uzvitla;uzvitlasmo;uzvitlate;uzvitlaše
opremati;opreman;opremana;oprema;opremani;opremane;opremajući
provzšljati;provršljam;provršljaš;provršlja;provršljasmo;provršljate;provršljaše
liberalizirati;liberaliziran;liberalizirana;liberalizirano;liberalizirani;liberalizirane;liberalizirajući
okopavati;okopavan;okopavana;okopavano;okopavani;okopavane;okopavajući
kvalificirati;kvalificirah;kvalificiraš;kvalificiraše;kvalificirasmo;kvalificirajte;kvalificirahu
hazardirati;hazardiram;hazardiraše;hazardiraše;hazardirasmo;hazardirate;hazardirajući
zviždukati;zviždukam;zviždukaše;zviždukaše;zviždukasmo;zviždukate;zviždučući
kandidirati;kandidiravši;kandidirana;kandidirano;kandidirani;kandidirane;kandidirajući
gegucati;gegucam;gegucaše;gegucaše;gegucasmo;gegucate;gegucajući
poguravati;poguravan;poguravana;poguravano;poguravani;poguravane;poguravajući
zaudarati;zaudaram;zaudaraše;zaudaraše;zaudarasmo;zaudarate;zaudaraju
kimati;kimah;kimaš;kimalo;kimasmo;kimale;kimahu
zadati;zadam;zadaš;zadade;zadamo;zadaste;zadat
sumirati;sumiram;sumiraše;sumiraše;sumirasmo;sumirate;sumiraše
padati;padam;padaše;padaše;padasmo;padate;padahu
pošiljati;pošiljam;pošiljaše;pošiljaše;pošiljasmo;pošiljana;pošiljaju
vidati;vidam;vidaše;vidaše;vidasmo;vidana;vidaju
bockati;bockan;bockana;bocka;bockani;bockane;bockajući
naganjati;naganjan;naganjana;naganjano;naganjani;naganjane;naganjajući
zbrkati;zbrkah;zbrkaj;zbrka;zbrkajmo;zbrkajte;zbrkaju
otplivati;otplivan;otplivana;otplivano;otplivani;otplivane;otplivaše
pripuštati;pripuštan;pripuštana;pripuštano;pripuštani;pripuštane;pripuštajući
ukapati;ukapam;ukapaše;ukapaše;ukapasmo;ukapajući;ukapaše
izviždati;izviždan;izviždana;izviždano;izviždani;izviždane;izviždaše
zauzlati;zauzlavši;zauzlana;zauzlano;zauzlani;zauzlane;zauzlaše
zaparati;zaparam;zaparaš;zapara;zaparasmo;zaparajte;zaparat
proučavati;proučavam;proučavaše;proučavaše;-;proučavana;-
ciklonizirati;cikloniziram;cikloniziraše;cikloniziraše;ciklonizirasmo;ciklonizirate;cikloniziraše
sažimati;sažimam;sažimaše;sažimaše;sažimasmo;sažimana;sažimlju
argumentirati;argumentiram;argumentira;argumentira;-;-;-
isisavati;isisavaavši;isisavana;isisavano;isisavani;isisavane;isisavajući
dati;dadoh;dadneš;dadne;damo;date;dadu
opraštati;opraštan;opraštana;opraštano;opraštani;opraštane;opraštajući
kaljati;kaljan;kaljana;kaljano;kaljani;kaljane;kaljajući
ugravirati;ugraviram;ugraviraš;ugravira;ugravirasmo;ugravirana;ugraviraše
uzurpirati;uzurpiram;uzurpiraše;uzurpiraše;uzurpirasmo;uzurpirate;uzurpiraše
