nasukati;nasukam;nasukaš;nasuka;nasukamo;nasukate;nasukaju
prepuštati;prepuštam;prepuštaš;prepušta;prepuštamo;prepuštate;prepuštaju
molestirati;molestiram;molestiraš;molestira;molestiramo;molestirate;molestiraju
lektorirati;lektoriram;lektoriraš;lektorira;lektoriramo;lektorirate;lektoriraju
progunđati;progunđam;progunđaš;progunđa;progunđamo;progunđate;progunđaju
kalkulirati;kalkuliram;kalkuliraš;kalkulira;kalkuliramo;kalkulirate;kalkuliraju
naviještati;naviještam;naviještaš;naviješta;naviještamo;naviještate;naviještaju
zdrmati;zdrmam;zdrmaš;zdrma;zdrmamo;zdrmate;zdrmaju
klapati;klapam;klapaš;klapa;klapamo;klapate;klapaju
gnušati;gnušam;gnušaš;gnuša;gnušamo;gnušate;gnušaju
poredati;poredam;poredaš;poreda;poredamo;poredate;poredaju
vijugati;vijugam;vijugaš;vijuga;vijugamo;vijugate;vijugaju
umnažati;umnažam;umnažaš;umnaža;umnažamo;umnažate;umnažaju
primati;primam;primaš;prima;primamo;primate;primaju
birati;biram;biraš;bira;biramo;birate;biraju
brzati;brzam;brzaš;brza;brzamo;brzate;brzaju
fotokopirati;fotokopiram;fotokopiraš;fotokopira;fotokopiramo;fotokopirate;fotokopiraju
okidati;okidam;okidaš;okida;okidamo;okidate;okidaju
oksidirati;oksidiram;oksidiraš;oksidira;oksidiramo;oksidirate;oksidiraju
javljati;javljam;javljaš;javlja;javljamo;javljate;javljaju
solidarizirati;solidariziram;solidariziraš;solidarizira;solidariziramo;solidarizirate;solidariziraju
distonirati;distoniram;distoniraš;distonira;distoniramo;distonirate;distoniraju
oružati;oružam;oružaš;oruža;oružamo;oružate;oružaju
redigirati;redigiram;redigiraš;redigira;redigiramo;redigirate;redigiraju
izlemati;izlemam;izlemaš;izlema;izlemamo;izlemate;izlemaju
poribljavati;poribljavam;poribljavaš;poribljava;poribljavamo;poribljavate;poribljavaju
zvrcati;zvrcam;zvrcaš;zvrca;zvrcamo;zvrcate;zvrcaju
sukljati;sukljam;sukljaš;suklja;sukljamo;sukljate;sukljaju
sekundirati;sekundiram;sekundiraš;sekundira;sekundiramo;sekundirate;sekundiraju
simbolizirati;simboliziram;simboliziraš;simbolizira;simboliziramo;simbolizirate;simboliziraju
fufljati;fufljam;fufljaš;fuflja;fufljamo;fufljate;fufljaju
katranizirati;katraniziram;katraniziraš;katranizira;katraniziramo;katranizirate;katraniziraju
kulminirati;kulminiram;kulminiraš;kulminira;kulminiramo;kulminirate;kulminiraju
griskati;griskam;griskaš;griska;griskamo;griskate;griskaju
lupati;lupam;lupaš;lupa;lupamo;lupate;lupaju
tucati;tucam;tucaš;tuca;tucamo;tucate;tucaju
pogurati;poguram;poguraš;pogura;poguramo;pogurate;poguraju
proplivati;proplivam;proplivaš;propliva;proplivamo;proplivate;proplivaju
prostituirati;prostituiram;prostituiraš;prostituira;prostituiramo;prostituirate;prostituiraju
narastati;narastam;narastaš;narasta;narastamo;narastate;narastaju
urešavati;urešavam;urešavaš;urešava;urešavamo;urešavate;urešavaju
dezintegrirati;dezintegriram;dezintegriraš;dezintegrira;dezintegriramo;dezintegrirate;dezintegriraju
landrati;landram;landraš;landra;landramo;landrate;landraju
zasnivati;zasnivam;zasnivaš;zasniva;zasnivamo;zasnivate;zasnivaju
svraćati;svraćam;svraćaš;svraća;svraćamo;svraćate;svraćaju
pouzdati;pouzdam;pouzdaš;pouzda;pouzdamo;pouzdate;pouzdaju
kontaminirati;kontaminiram;kontaminiraš;kontaminira;kontaminiramo;kontaminirate;kontaminiraju
kolektivizirati;kolektiviziram;kolektiviziraš;kolektivizira;kolektiviziramo;kolektivizirate;kolektiviziraju
žigati;žigam;žigaš;žiga;žigamo;žigate;žigaju
opšivati;opšivam;opšivaš;opšiva;opšivamo;opšivate;opšivaju
osnivati;osnivam;osnivaš;osniva;osnivamo;osnivate;osnivaju
dislocirati;dislociram;dislociraš;dislocira;dislociramo;dislocirate;dislociraju
odstupati;odstupam;odstupaš;odstupa;odstupamo;odstupate;odstupaju
izmaštati;izmaštam;izmaštaš;izmašta;izmaštamo;izmaštate;izmaštaju
izmanevrirati;izmanevriram;izmanevriraš;izmanevrira;izmanevriramo;izmanevrirate;izmanevriraju
rastavljati;rastavljam;rastavljaš;rastavlja;rastavljamo;rastavljate;rastavljaju
gizdati;gizdam;gizdaš;gizda;gizdamo;gizdate;gizdaju
zasmetati;zasmetam;zasmetaš;zasmeta;zasmetamo;zasmetate;zasmetaju
inscenirati;insceniram;insceniraš;inscenira;insceniramo;inscenirate;insceniraju
zajedati;zajedam;zajedaš;zajeda;zajedamo;zajedate;zajedaju
pentati;pentam;pentaš;penta;pentamo;pentate;pentaju
mekšati;mekšam;mekšaš;mekša;mekšamo;mekšate;mekšaju
ocvjetati;ocvjetam;ocvjetaš;ocvjeta;ocvjetamo;ocvjetate;ocvjetaju
jecati;jecam;jecaš;jeca;jecamo;jecate;jecaju
dozovljavati;dozovljavam;dozovljavaš;dozovljava;dozovljavamo;dozovljavate;dozovljavaju
podsijecati;podsijecam;podsijecaš;podsijeca;podsijecamo;podsijecate;podsijecaju
poispadati;poispadam;poispadaš;poispada;poispadamo;poispadate;poispadaju
ispozdravljati;ispozdravljam;ispozdravljaš;ispozdravlja;ispozdravljamo;ispozdravljate;ispozdravljaju
obasjati;obasjam;obasjaš;obasja;obasjamo;obasjate;obasjaju
odrastati;odrastam;odrastaš;odrasta;odrastamo;odrastate;odrastaju
inkomodirati;inkomodiram;inkomodiraš;inkomodira;inkomodiramo;inkomodirate;inkomodiraju
obigravati;obigravam;obigravaš;obigrava;obigravamo;obigravate;obigravaju
portretirati;portretiram;portretiraš;portretira;portretiramo;portretirate;portretiraju
dopuštati;dopuštam;dopuštaš;dopušta;dopuštamo;dopuštate;dopuštaju
simulirati;simuliram;simuliraš;simulira;simuliramo;simulirate;simuliraju
išetati;išetam;išetaš;išeta;išetamo;išetate;išetaju
raskomadati;raskomadam;raskomadaš;raskomada;raskomadamo;raskomadate;raskomadaju
predočavati;predočavam;predočavaš;predočava;predočavamo;predočavate;predočavaju
usvajati;usvajam;usvajaš;usvaja;usvajamo;usvajate;usvajaju
izgovarati;izgovaram;izgovaraš;izgovara;izgovaramo;izgovarate;izgovaraju
kotrljati;kotrljam;kotrljaš;kotrlja;kotrljamo;kotrljate;kotrljaju
poprskati;poprskam;poprskaš;poprska;poprskamo;poprskate;poprskaju
durati;duram;duraš;dura;duramo;durate;duraju
petrificirati;petrificiram;petrificiraš;petrificira;petrificiramo;petrificirate;petrificiraju
ažurirati;ažuriram;ažuriraš;ažurira;ažuriramo;ažurirate;ažuriraju
obožavati;obožavam;obožavaš;obožava;obožavamo;obožavate;obožavaju
promzmljati;promzmljam;promzmljaš;promzmlja;promzmljamo;promzmljate;promzmljaju
racionalizirati;racionaliziram;racionaliziraš;racionalizira;racionaliziramo;racionalizirate;racionaliziraju
znati;;;;;;
utvarati;utvaram;utvaraš;utvara;utvaramo;utvarate;utvaraju
udarati;udaram;udaraš;udara;udaramo;udarate;udaraju
iščezavati;iščezavam;iščezavaš;iščezava;iščezavamo;iščezavate;iščezavaju
divinizirati;diviniziram;diviniziraš;divinizira;diviniziramo;divinizirate;diviniziraju
poprodavati;poprodavam;poprodavaš;poprodava;poprodavamo;poprodavate;poprodavaju
izmasirati;izmasiram;izmasiraš;izmasira;izmasiramo;izmasirate;izmasiraju
nađinđati;nađinđam;nađinđaš;nađinđa;nađinđamo;nađinđate;nađinđaju
denaturirati;denaturiram;denaturiraš;denaturira;denaturiramo;denaturirate;denaturiraju
kuljati;kuljam;kuljaš;kulja;kuljamo;kuljate;kuljaju
koncentrirati;koncentriram;koncentriraš;koncentrira;koncentriramo;koncentrirate;koncentriraju
upozoravati;upozoravam;upozoravaš;upozorava;upozoravamo;upozoravate;upozoravaju
bojkotirati;bojkotiram;bojkotiraš;bojkotira;bojkotiramo;bojkotirate;bojkotiraju
islamizirati;islamiziram;islamiziraš;islamizira;islamiziramo;islamizirate;islamiziraju
ranjavati;ranjavam;ranjavaš;ranjava;ranjavamo;ranjavate;ranjavaju
pobrajati;pobrajam;pobrajaš;pobraja;pobrajamo;pobrajate;pobrajaju
izražavati;izražavam;izražavaš;izražava;izražavamo;izražavate;izražavaju
travestirati;travestiram;travestiraš;travestira;travestiramo;travestirate;travestiraju
iscijepati;iscijepam;iscijepaš;iscijepa;iscijepamo;iscijepate;iscijepaju
veličati;veličam;veličaš;veliča;veličamo;veličate;veličaju
ubrojavati;ubrojavam;ubrojavaš;ubrojava;ubrojavamo;ubrojavate;ubrojavaju
deportirati;deportiram;deportiraš;deportira;deportiramo;deportirate;deportiraju
tinjati;tinjam;tinjaš;tinja;tinjamo;tinjate;tinjaju
pauzirati;pauziram;pauziraš;pauzira;pauziramo;pauzirate;pauziraju
frapirati;frapiram;frapiraš;frapira;frapiramo;frapirate;frapiraju
parafirati;parafiram;parafiraš;parafira;parafiramo;parafirate;parafiraju
ravnati;ravnam;ravnaš;ravna;ravnamo;ravnate;ravnaju
kontribuirati;kontribuiram;kontribuiraš;kontribuira;kontribuiramo;kontribuirate;kontribuiraju
moderirati;moderiram;moderiraš;moderira;moderiramo;moderirate;moderiraju
opovrgavati;opovrgavam;opovrgavaš;opovrgava;opovrgavamo;opovrgavate;opovrgavaju
guštati;guštam;guštaš;gušta;guštamo;guštate;guštaju
krepati;krepam;krepaš;krepa;krepamo;krepate;krepaju
cjepkati;cjepkam;cjepkaš;cjepka;cjepkamo;cjepkate;cjepkaju
namreškati;namreškam;namreškaš;namreška;namreškamo;namreškate;namreškaju
zakrčkati;zakrčkam;zakrčkaš;zakrčka;zakrčkamo;zakrčkate;zakrčkaju
isprovocirati;isprovociram;isprovociraš;isprovocira;isprovociramo;isprovocirate;isprovociraju
determinirati;determiniram;determiniraš;determinira;determiniramo;determinirate;determiniraju
rivalizirati;rivaliziram;rivaliziraš;rivalizira;rivaliziramo;rivalizirate;rivaliziraju
gacati;gacam;gacaš;gaca;gacamo;gacate;gacaju
nadodati;nadodam;nadodaš;nadoda;nadodamo;nadodate;nadodaju
pozadijevati;pozadijevam;pozadijevaš;pozadijeva;pozadijevamo;pozadijevate;pozadijevaju
ofarbati;ofarbam;ofarbaš;ofarba;ofarbamo;ofarbate;ofarbaju
dolijati;dolijam;dolijaš;dolija;dolijamo;dolijate;dolijaju
otjerati;otjeram;otjeraš;otjera;otjeramo;otjerate;otjeraju
stacionirati;stacioniram;stacioniraš;stacionira;stacioniramo;stacionirate;stacioniraju
vulkanizirati;vulkaniziram;vulkaniziraš;vulkanizira;vulkaniziramo;vulkanizirate;vulkaniziraju
poharati;poharam;poharaš;pohara;poharamo;poharate;poharaju
pardonirati;pardoniram;pardoniraš;pardonira;pardoniramo;pardonirate;pardoniraju
izranjati;izranjam;izranjaš;izranja;izranjamo;izranjate;izranjaju
posjedati;posjedam;posjedaš;posjeda;posjedamo;posjedate;posjedaju
provijati;provijam;provijaš;provija;provijamo;provijate;provijaju
prigledati;prigledam;prigledaš;prigleda;prigledamo;prigledate;prigledaju
otimati;otimam;otimaš;otima;otimamo;otimate;otimaju
lunjati;lunjam;lunjaš;lunja;lunjamo;lunjate;lunjaju
brčkati;brčkam;brčkaš;brčka;brčkamo;brčkate;brčkaju
isipati;isipam;isipaš;isipa;isipamo;isipate;isipaju
dirigirati;dirigiram;dirigiraš;dirigira;dirigiramo;dirigirate;dirigiraju
impregnirati;impregniram;impregniraš;impregnira;impregniramo;impregnirate;impregniraju
prenavljati;prenavljam;prenavljaš;prenavlja;prenavljamo;prenavljate;prenavljaju
previđati;previđam;previđaš;previđa;previđamo;previđate;previđaju
zazidati;zazidam;zazidaš;zazida;zazidamo;zazidate;zazidaju
ocrtati;ocrtam;ocrtaš;ocrta;ocrtamo;ocrtate;ocrtaju
ujedinjavati;ujedinjavam;ujedinjavaš;ujedinjava;ujedinjavamo;ujedinjavate;ujedinjavaju
otkrivati;otkrivam;otkrivaš;otkriva;otkrivamo;otkrivate;otkrivaju
prokockati;prokockam;prokockaš;prokocka;prokockamo;prokockate;prokockaju
uzrujavati;uzrujavam;uzrujavaš;uzrujava;uzrujavamo;uzrujavate;uzrujavaju
kontemplirati;kontempliram;kontempliraš;kontemplira;kontempliramo;kontemplirate;kontempliraju
relaksirati;relaksiram;relaksiraš;relaksira;relaksiramo;relaksirate;relaksiraju
sjedinjavati;sjedinjavam;sjedinjavaš;sjedinjava;sjedinjavamo;sjedinjavate;sjedinjavaju
raspravljati;raspravljam;raspravljaš;raspravlja;raspravljamo;raspravljate;raspravljaju
pecati;pecam;pecaš;peca;pecamo;pecate;pecaju
retardirati;retardiram;retardiraš;retardira;retardiramo;retardirate;retardiraju
dokotrljati;dokotrljam;dokotrljaš;dokotrlja;dokotrljamo;dokotrljate;dokotrljaju
suptrahirati;suptrahiram;suptrahiraš;suptrahira;suptrahiramo;suptrahirate;suptrahiraju
ranžirati;ranžiram;ranžiraš;ranžira;ranžiramo;ranžirate;ranžiraju
izmijenjati;izmijenjam;izmijenjaš;izmijenja;izmijenjamo;izmijenjate;izmijenjaju
garnirati;garniram;garniraš;garnira;garniramo;garnirate;garniraju
glavinjati;glavinjam;glavinjaš;glavinja;glavinjamo;glavinjate;glavinjaju
ornamentirati;ornamentiram;ornamentiraš;ornamentira;ornamentiramo;ornamentirate;ornamentiraju
kovzčati;kovzčam;kovzčaš;kovzča;kovzčamo;kovzčate;kovzčaju
zaljuljati;zaljuljam;zaljuljaš;zaljulja;zaljuljamo;zaljuljate;zaljuljaju
korigirati;korigiram;korigiraš;korigira;korigiramo;korigirate;korigiraju
grickati;grickam;grickaš;gricka;grickamo;grickate;grickaju
biflati;biflam;biflaš;bifla;biflamo;biflate;biflaju
sadržavati;sadržavam;sadržavaš;sadržava;sadržavamo;sadržavate;sadržavaju
zvjerati;zvjeram;zvjeraš;zvjera;zvjeramo;zvjerate;zvjeraju
uštrcati;uštrcam;uštrcaš;uštrca;uštrcamo;uštrcate;uštrcaju
iskopčati;iskopčam;iskopčaš;iskopča;iskopčamo;iskopčate;iskopčaju
izribati;izribam;izribaš;izriba;izribamo;izribate;izribaju
piskutati;piskutam;piskutaš;piskuta;piskutamo;piskutate;piskutaju
coprati;copram;copraš;copra;copramo;coprate;copraju
lupetati;lupetam;lupetaš;lupeta;lupetamo;lupetate;lupetaju
zirkati;zirkam;zirkaš;zirka;zirkamo;zirkate;zirkaju
odspavati;odspavam;odspavaš;odspava;odspavamo;odspavate;odspavaju
iskrzati;iskrzam;iskrzaš;iskrza;iskrzamo;iskrzate;iskrzaju
ratificirati;ratificiram;ratificiraš;ratificira;ratificiramo;ratificirate;ratificiraju
zasjati;zasjam;zasjaš;zasja;zasjamo;zasjate;zasjaju
koturati;koturam;koturaš;kotura;koturamo;koturate;koturaju
porazgovarati;porazgovaram;porazgovaraš;porazgovara;porazgovaramo;porazgovarate;porazgovaraju
šmirglati;šmirglam;šmirglaš;šmirgla;šmirglamo;šmirglate;šmirglaju
poubijati;poubijam;poubijaš;poubija;poubijamo;poubijate;poubijaju
kreirati;kreiram;kreiraš;kreira;kreiramo;kreirate;kreiraju
križati;križam;križaš;križa;križamo;križate;križaju
načinjati;načinjam;načinjaš;načinja;načinjamo;načinjate;načinjaju
sačuvati;sačuvam;sačuvaš;sačuva;sačuvamo;sačuvate;sačuvaju
lavirati;laviram;laviraš;lavira;laviramo;lavirate;laviraju
drmusati;drmusam;drmusaš;drmusa;drmusamo;drmusate;drmusaju
difamirati;difamiram;difamiraš;difamira;difamiramo;difamirate;difamiraju
grudati;grudam;grudaš;gruda;grudamo;grudate;grudaju
pripucati;pripucam;pripucaš;pripuca;pripucamo;pripucate;pripucaju
apsorbirati;apsorbiram;apsorbiraš;apsorbira;apsorbiramo;apsorbirate;apsorbiraju
bauljati;bauljam;bauljaš;baulja;bauljamo;bauljate;bauljaju
ispričavati;ispričavam;ispričavaš;ispričava;ispričavamo;ispričavate;ispričavaju
zagrizati;zagrizam;zagrizaš;zagriza;zagrizamo;zagrizate;zagrizaju
prozivati;prozivam;prozivaš;proziva;prozivamo;prozivate;prozivaju
izrešetati;izrešetam;izrešetaš;izrešeta;izrešetamo;izrešetate;izrešetaju
situirati;situiram;situiraš;situira;situiramo;situirate;situiraju
crtkati;crtkam;crtkaš;crtka;crtkamo;crtkate;crtkaju
komadati;komadam;komadaš;komada;komadamo;komadate;komadaju
kurblati;kurblam;kurblaš;kurbla;kurblamo;kurblate;kurblaju
guslati;guslam;guslaš;gusla;guslamo;guslate;guslaju
propjevati;propjevam;propjevaš;propjeva;propjevamo;propjevate;propjevaju
uzimati;uzimam;uzimaš;uzima;uzimamo;uzimate;uzimaju
špijunirati;špijuniram;špijuniraš;špijunira;špijuniramo;špijunirate;špijuniraju
loptati;loptam;loptaš;lopta;loptamo;loptate;loptaju
prizivati;prizivam;prizivaš;priziva;prizivamo;prizivate;prizivaju
zbrljati;zbrljam;zbrljaš;zbrlja;zbrljamo;zbrljate;zbrljaju
kampirati;kampiram;kampiraš;kampira;kampiramo;kampirate;kampiraju
razotkrivati;razotkrivam;razotkrivaš;razotkriva;razotkrivamo;razotkrivate;razotkrivaju
pričinjavati;pričinjavam;pričinjavaš;pričinjava;pričinjavamo;pričinjavate;pričinjavaju
raščupati;raščupam;raščupaš;raščupa;raščupamo;raščupate;raščupaju
dogurati;doguram;doguraš;dogura;doguramo;dogurate;doguraju
fulirati;fuliram;fuliraš;fulira;fuliramo;fulirate;fuliraju
prosukljati;prosukljam;prosukljaš;prosuklja;prosukljamo;prosukljate;prosukljaju
samozadovoljavati;samozadovoljavam;samozadovoljavaš;samozadovoljava;samozadovoljavamo;samozadovoljavate;samozadovoljavaju
odvodnjavati;odvodnjavam;odvodnjavaš;odvodnjava;odvodnjavamo;odvodnjavate;odvodnjavaju
prevenirati;preveniram;preveniraš;prevenira;preveniramo;prevenirate;preveniraju
podučavati;podučavam;podučavaš;podučava;podučavamo;podučavate;podučavaju
zakopčavati;zakopčavam;zakopčavaš;zakopčava;zakopčavamo;zakopčavate;zakopčavaju
bilancirati;bilanciram;bilanciraš;bilancira;bilanciramo;bilancirate;bilanciraju
pljačkati;pljačkam;pljačkaš;pljačka;pljačkamo;pljačkate;pljačkaju
mistificirati;mistificiram;mistificiraš;mistificira;mistificiramo;mistificirate;mistificiraju
uslikati;uslikam;uslikaš;uslika;uslikamo;uslikate;uslikaju
očetkati;očetkam;očetkaš;očetka;očetkamo;očetkate;očetkaju
nosati;nosam;nosaš;nosa;nosamo;nosate;nosaju
kolidirati;kolidiram;kolidiraš;kolidira;kolidiramo;kolidirate;kolidiraju
izdiktirati;izdiktiram;izdiktiraš;izdiktira;izdiktiramo;izdiktirate;izdiktiraju
grušati;grušam;grušaš;gruša;grušamo;grušate;grušaju
konzultirati;konzultiram;konzultiraš;konzultira;konzultiramo;konzultirate;konzultiraju
izmotavati;izmotavam;izmotavaš;izmotava;izmotavamo;izmotavate;izmotavaju
načekati;načekam;načekaš;načeka;načekamo;načekate;načekaju
skapavati;skapavam;skapavaš;skapava;skapavamo;skapavate;skapavaju
okončavati;okončavam;okončavaš;okončava;okončavamo;okončavate;okončavaju
limitirati;limitiram;limitiraš;limitira;limitiramo;limitirate;limitiraju
dohvaćati;dohvaćam;dohvaćaš;dohvaća;dohvaćamo;dohvaćate;dohvaćaju
degažirati;degažiram;degažiraš;degažira;degažiramo;degažirate;degažiraju
zavladati;zavladam;zavladaš;zavlada;zavladamo;zavladate;zavladaju
isfrigati;isfrigam;isfrigaš;isfriga;isfrigamo;isfrigate;isfrigaju
bordižati;bordižam;bordižaš;bordiža;bordižamo;bordižate;bordižaju
predati;predam;predaš;preda;predamo;predate;predaju
iščačkati;iščačkam;iščačkaš;iščačka;iščačkamo;iščačkate;iščačkaju
razvodnjavati;razvodnjavam;razvodnjavaš;razvodnjava;razvodnjavamo;razvodnjavate;razvodnjavaju
uštirkati;uštirkam;uštirkaš;uštirka;uštirkamo;uštirkate;uštirkaju
drndati;drndam;drndaš;drnda;drndamo;drndate;drndaju
bjelasati;bjelasam;bjelasaš;bjelasa;bjelasamo;bjelasate;bjelasaju
nagrabljati;nagrabljam;nagrabljaš;nagrablja;nagrabljamo;nagrabljate;nagrabljaju
rašpati;rašpam;rašpaš;rašpa;rašpamo;rašpate;rašpaju
izvarati;izvaram;izvaraš;izvara;izvaramo;izvarate;izvaraju
snižavati;snižavam;snižavaš;snižava;snižavamo;snižavate;snižavaju
potkradati;potkradam;potkradaš;potkrada;potkradamo;potkradate;potkradaju
frcati;frcam;frcaš;frca;frcamo;frcate;frcaju
osjenčati;osjenčam;osjenčaš;osjenča;osjenčamo;osjenčate;osjenčaju
isprobati;isprobam;isprobaš;isproba;isprobamo;isprobate;isprobaju
iskuhati;iskuham;iskuhaš;iskuha;iskuhamo;iskuhate;iskuhaju
namotavati;namotavam;namotavaš;namotava;namotavamo;namotavate;namotavaju
blamirati;blamiram;blamiraš;blamira;blamiramo;blamirate;blamiraju
tapšati;tapšam;tapšaš;tapša;tapšamo;tapšate;tapšaju
defilirati;defiliram;defiliraš;defilira;defiliramo;defilirate;defiliraju
zaokupljati;zaokupljam;zaokupljaš;zaokuplja;zaokupljamo;zaokupljate;zaokupljaju
konstituirati;konstituiram;konstituiraš;konstituira;konstituiramo;konstituirate;konstituiraju
zapackati;zapackam;zapackaš;zapacka;zapackamo;zapackate;zapackaju
vladati;vladam;vladaš;vlada;vladamo;vladate;vladaju
koštati;koštam;koštaš;košta;koštamo;koštate;koštaju
iščetkati;iščetkam;iščetkaš;iščetka;iščetkamo;iščetkate;iščetkaju
slupati;slupam;slupaš;slupa;slupamo;slupate;slupaju
naštimati;naštimam;naštimaš;naštima;naštimamo;naštimate;naštimaju
korespondirati;korespondiram;korespondiraš;korespondira;korespondiramo;korespondirate;korespondiraju
propovijedati;propovijedam;propovijedaš;propovijeda;propovijedamo;propovijedate;propovijedaju
poigrati;poigram;poigraš;poigra;poigramo;poigrate;poigraju
obavještavati;obavještavam;obavještavaš;obavještava;obavještavamo;obavještavate;obavještavaju
studirati;studiram;studiraš;studira;studiramo;studirate;studiraju
skandirati;skandiram;skandiraš;skandira;skandiramo;skandirate;skandiraju
uzvitlati;uzvitlam;uzvitlaš;uzvitla;uzvitlamo;uzvitlate;uzvitlaju
opremati;opremam;opremaš;oprema;opremamo;opremate;opremaju
provzšljati;provzšljam;provzšljaš;provzšlja;provzšljamo;provzšljate;provzšljaju
liberalizirati;liberaliziram;liberaliziraš;liberalizira;liberaliziramo;liberalizirate;liberaliziraju
okopavati;okopavam;okopavaš;okopava;okopavamo;okopavate;okopavaju
kvalificirati;kvalificiram;kvalificiraš;kvalificira;kvalificiramo;kvalificirate;kvalificiraju
hazardirati;hazardiram;hazardiraš;hazardira;hazardiramo;hazardirate;hazardiraju
zviždukati;zviždukam;zviždukaš;zvižduka;zviždukamo;zviždukate;zviždukaju
kandidirati;kandidiram;kandidiraš;kandidira;kandidiramo;kandidirate;kandidiraju
gegucati;gegucam;gegucaš;geguca;gegucamo;gegucate;gegucaju
poguravati;poguravam;poguravaš;pogurava;poguravamo;poguravate;poguravaju
zaudarati;zaudaram;zaudaraš;zaudara;zaudaramo;zaudarate;zaudaraju
kimati;kimam;kimaš;kima;kimamo;kimate;kimaju
zadati;zadam;zadaš;zada;zadamo;zadate;zadaju
sumirati;sumiram;sumiraš;sumira;sumiramo;sumirate;sumiraju
padati;padam;padaš;pada;padamo;padate;padaju
pošiljati;pošiljam;pošiljaš;pošilja;pošiljamo;pošiljate;pošiljaju
vidati;vidam;vidaš;vida;vidamo;vidate;vidaju
bockati;bockam;bockaš;bocka;bockamo;bockate;bockaju
naganjati;naganjam;naganjaš;naganja;naganjamo;naganjate;naganjaju
zbrkati;zbrkam;zbrkaš;zbrka;zbrkamo;zbrkate;zbrkaju
otplivati;otplivam;otplivaš;otpliva;otplivamo;otplivate;otplivaju
pripuštati;pripuštam;pripuštaš;pripušta;pripuštamo;pripuštate;pripuštaju
ukapati;ukapam;ukapaš;ukapa;ukapamo;ukapate;ukapaju
izviždati;izviždam;izviždaš;izvižda;izviždamo;izviždate;izviždaju
zauzlati;zauzlam;zauzlaš;zauzla;zauzlamo;zauzlate;zauzlaju
zaparati;zaparam;zaparaš;zapara;zaparamo;zaparate;zaparaju
proučavati;proučavam;proučavaš;proučava;proučavamo;proučavate;proučavaju
ciklonizirati;cikloniziram;cikloniziraš;ciklonizira;cikloniziramo;ciklonizirate;cikloniziraju
sažimati;sažimam;sažimaš;sažima;sažimamo;sažimate;sažimaju
argumentirati;argumentiram;argumentiraš;argumentira;argumentiramo;argumentirate;argumentiraju
isisavati;isisavam;isisavaš;isisava;isisavamo;isisavate;isisavaju
dati;;;;;;
opraštati;opraštam;opraštaš;oprašta;opraštamo;opraštate;opraštaju
kaljati;kaljam;kaljaš;kalja;kaljamo;kaljate;kaljaju
ugravirati;ugraviram;ugraviraš;ugravira;ugraviramo;ugravirate;ugraviraju
uzurpirati;uzurpiram;uzurpiraš;uzurpira;uzurpiramo;uzurpirate;uzurpiraju
preformulirati;preformuliram;preformuliraš;preformulira;preformuliramo;preformulirate;preformuliraju
bujati;bujam;bujaš;buja;bujamo;bujate;bujaju
parketirati;parketiram;parketiraš;parketira;parketiramo;parketirate;parketiraju
očitati;očitam;očitaš;očita;očitamo;očitate;očitaju
predstavljati;predstavljam;predstavljaš;predstavlja;predstavljamo;predstavljate;predstavljaju
generalizirati;generaliziram;generaliziraš;generalizira;generaliziramo;generalizirate;generaliziraju
