glagoli  |  top2     
glumovati: jem, am
nahuškavati: am, im
pomrčati: im, am
pojednostavljivati: am, jem
polijetati: em, am
kaljavati: am, jem
odbjegivati: jem, am
kračavati: am, im
preštepati: am, im
vršljavati: am, jem
pilirati: am, em
prehladiti: im, jem
mašćivati: jem, am
iščiliti: im, jem
razrastati: am, em
izveravati: am, jem
rekomponirati: am, im
nagazivati: am, jem
onesvještavati: am, im
okrastati: am, im
udaviti: im, jem
uzjahivati: jem, am
pričveknuti: em, im
iščistiti: im, jem
blondirati: am, im
odsukavati: am, im
preslojiti: im, jem
preporučiti: im, jem
tajivati: jem, em
prisnažiti: im, jem
dosluživati: jem, am
vrtlariti: im, jem
uzlijetati: em, am
prebrojati: im, am
naturivati: jem, am
zavrvjeti: em, im
uhranjivati: jem, am
picaniti: im, em
naručati: im, jem
glorificirati: am, im
priklanjati: am, jem
tabuirati: am, im
produživati: jem, am
doguravati: am, jem
sljeđivati: jem, am
smekšavati: am, im
zadavljivati: jem, am
zimljivati: jem, am
razvaliti: im, em
iscjepkavati: am, im
isklicati: em, am
vjeravati: am, jem
svatovati: jem, am
oholiti: im, jem
prezasićivati: jem, am
probnuti: em, im
bludničiti: im, jem
renovirati: am, em
iskipati: am, em
krečivati: jem, am
alternirati: am, em
odgrtavati: am, im
kolokvirati: am, em
inkantati: am, em
zazoriti: im, am
roškavati: am, im
ispirjati: am, jem
šarfirati: am, em
doseljivati: jem, am
zatreskati: am, im
podvrisnuti: em, jem
zupčati: im, em
ždirati: am, em
uniformirati: am, im
daniti: im, em
smrsiti: im, am
razmiljivati: jem, am
đipati: am, em
potaknuti: em, im
transplantirati: am, im
uočiti: im, am
pozapađivati: am, jem
sadijevati: am, jem
doigravati: am, jem
govnariti: im, am
obezličiti: im, jem
dolebdjeti: im, em
snabdjeti: im, jem
kanonizirati: am, im
prenatrpati: am, im
potprijeti: em, im
požnjeti: im, am
ispečiti: im, jem
takmičiti: im, jem
stojivati: am, jem
ožućivati: jem, am
koliti: im, am
šoriti: im, am
deslavenizirati: am, im
prefikariti: im, ijem
požbukati: am, im
cvrknuti: em, im
prokrvarivati: jem, am
utkivati: jem, am
prošiti: im, ijem
krembljati: am, jem
oprćiti: im, em
vrstati: am, em
sviriti: im, jem
erumpirati: am, im
našpikati: am, im
posrebrivati: jem, am
prišivati: am, jem
odgajiti: im, jem
svijetljeti: im, am
kibicirati: am, em
udebljavati: am, jem
legnuti: em, im
razmeđiti: im, jem
vještačiti: im, am
okulirati: am, im
zasvinjivati: jem, em
zuzukati: em, im
iscrtkati: am, em
šmuglati: am, im
kolačivati: jem, am
kloptati: am, im
prignjaviti: im, jem
prokrvljivati: jem, am
uštinuti: em, im
isprobijati: am, em
fitiljiti: im, ijem
preuznositi: im, am
meračiti: im, jem
priopćavati: am, jem
satirati: am, em
palucnuti: em, im
proležati: im, am
lupavati: am, im
uležati: im, am
upoznavati: jem, am
ekspatrirati: am, im
hrabriti: im, am
isprošivati: am, jem
otporiti: im, am
podvrnuti: em, im
kišnjavati: am, jem
smlavljivati: jem, am
zalogajiti: im, jem
dimiti: im, jem
dogrmjeti: im, em
pokrštavati: am, im
bljutavljivati: am, jem
razmaći: em, jem
začavliti: im, am
povampiriti: im, am
kuljnuti: em, jem
dodvorivati: jem, am
zaheftati: am, em
brencati: am, em
gusliti: im, em
jotovati: jem, im
pišiti: im, ijem
rasploditi: im, am
štucnuti: em, im
posušivati: jem, am
šenlučiti: im, jem
anulirati: am, im
zagnjuriti: im, am
zasititi: im, am
vijavati: am, jem
kipiti: im, ijem
guravati: am, jem
notificirati: am, em
tanjurati: am, em
uparložiti: im, jem
ustostručivati: jem, am
stepati: am, im
partijati: am, im
zakraljiti: im, ijem
krijepiti: im, jem
kooperirati: am, em
razmiješati: am, em
transcendirati: am, im
obdjeljavati: am, jem
predizati: em, am
čašćavati: am, jem
rekonstruirati: am, im
posrkutati: em, am
komutirati: am, im
usmjerivati: jem, am
natrapavati: am, im
rikošetirati: am, im
nijemjeti: im, em
skitavati: am, im
unilaziti: im, jem
omudrjeti: im, jem
uzječati: im, jem
tarasiti: im, am
intronizirati: am, im
pamećivati: jem, am
vrgnuti: em, im
prebrojiti: im, jem
doteščavati: am, im
preorati: em, am
ubjeći: em, im
migivati: jem, am
huknuti: em, im
uzveličavati: am, im
tarifirati: am, em
adresirati: am, em
razgoditi: im, am
zalučiti: im, jem
cvatjeti: im, jem
nagrajsati: am, im
garotirati: am, em
razvjenčavati: am, im
mlađivati: jem, am
defrankizirati: am, em
ispretući: em, jem
reklinirati: am, im
šegačiti: im, jem
hvaljivati: jem, am
karambolirati: am, im
provarivati: jem, am
praskivati: am, jem
raskoračiti: im, jem
ispraćivati: jem, am
mađijati: jem, am
ovjekovječivati: jem, am
omrtvjeti: im, jem
inkartati: am, im
skrbljivati: jem, am
čkiljiti: im, jem
šprajcati: am, im
sićivati: jem, am
dopeći: em, im
absajlati: am, jem
uobraziti: im, am
prepuniti: im, jem
hohotati: am, em
prodjenuti: em, im
otparati: am, im
ispenjati: am, jem
ukurvljivati: jem, am
prižgati: am, jem
razgoliti: im, em
našati: am, em
dozlogrđivati: jem, am
grdjeti: im, em
cugnuti: em, im
otančavati: am, im
pothvatiti: im, am
indorati: am, em
lebđivati: jem, am
podriti: im, ijem
vojačivati: jem, am
heriti: im, jem
samoorganizirati: am, im
plotirati: am, em
dvojiti: im, jem
serijalizirati: am, em
zabređavati: am, jem
prostačiti: im, jem
zavjeriti: im, am
štrecati: am, em
albanizirati: am, im
trucnuti: em, im
novčiti: im, am
propješačivati: jem, am
zaraćivati: jem, am
alkotestirati: am, em
podozrijevati: am, jem
nažutiti: im, am
okivati: am, em
kravljivati: jem, am
oblajati: am, jem
navlaživati: am, jem
ševrdati: am, im
jađivati: jem, am
mućkavati: am, im
ruđivati: jem, am
fratriti: im, am
peljavati: am, jem
urastati: am, im
čitnuti: em, im
demokratizirati: am, im
prostajavati: am, jem
špaltirati: am, im
štambiljati: am, im
uzivati: am, em
precrtati: am, im
nasmoći: em, jem
mliječiti: im, am
zakrivati: am, jem
kljuvljivati: jem, am
ljigaviti: jem, em
ujahivati: jem, am
zavreti: im, am
prelijetati: em, am
predestinirati: am, em
napakovati: am, im
špekulirati: am, im
zakaluđeriti: im, jem
rasušiti: im, am
zavaliti: im, em
crnjeti: im, am
huktati: am, em
čašiti: im, ijem
građivati: jem, am
badriti: im, jem
raščetvrtavati: am, im
iskrastati: am, im
isprtljati: am, im
odšućivati: jem, am
odvirati: em, am
doturati: am, im
križiti: im, jem
prebrajati: am, em
odvrćivati: jem, am
probarabljivati: jem, am
prštiti: im, ijem
zagariti: im, ijem
godištiti: im, am
uštediti: im, am
ženjivati: jem, am
cijeliti: im, em
prolijegati: em, am
umući: em, jem
izlistati: am, em
razmimoići: em, im
zamusati: am, im
prisizati: em, am
klatariti: im, jem
dinamizirati: am, em
podruštvovljivati: jem, am
uzilaziti: im, em
dogurkati: am, em
prekrajati: am, jem
objužiti: im, em
ljubovati: jem, am
privijati: am, em
dariti: im, em
pobadati: am, em
službovati: jem, am
okamenjivati: jem, em
galvanizirati: am, im
nabrusivati: am, jem
ukamaćivati: jem, am
preduhitravati: am, jem
raznašati: am, em
produhovljivati: jem, am
obraziti: im, em
srknuti: em, im
krisiti: im, am
utruditi: im, am
uskomešivati: jem, am
počakaviti: im, am
preuzimati: am, em
odsjedati: am, im
uzidavati: jem, am
kristijanizirati: am, im
nastrugati: em, am
dojahivati: jem, am
pastiti: im, jem
iščašivati: jem, am
opuzati: em, am
prizdravljati: am, em
smatati: am, em
izbjesnjeti: im, em
prevršiti: im, am
čalabrcati: am, im
plovljivati: jem, am
zažudjeti: im, am
zaregetati: am, em
postostručiti: im, jem
onjuškivati: jem, am
premješivati: jem, am
podrepiti: im, jem
isprhati: em, am
onečišćivati: jem, am
prenizati: em, am
glagoljiti: im, jem
žicariti: im, am
agitirati: am, em
vijećati: am, im
potavaniti: im, am
protezati: em, im
blistavati: am, im
poiscijediti: im, am
polojiti: im, jem
prekoračivati: jem, am
zašumjeti: im, jem
voltižirati: am, im
odstupljivati: jem, am
odomaćivati: jem, am
našiti: im, ijem
ćelavjeti: im, am
primješivati: jem, am
sumračivati: jem, am
zarutavljivati: jem, am
nakotiti: im, am
glupiti: im, jem
grožavati: am, im
htijevati: am, em
ljigavljivati: jem, am
dohramati: am, jem
uspavati: am, im
izbezobraziti: im, am
transmigrirati: am, im
posvinjiti: im, jem
prismočiti: im, am
poružnjeti: im, am
oklopiti: im, jem
evidentirati: am, im
prigrljivati: jem, am
omiljeti: im, em
blagosivati: jem, em
zalemljivati: jem, am
zabrundati: am, im
križivati: jem, am
nadlicitirati: am, em
hrustati: am, em
nadograđivati: jem, am
pregrijavati: am, jem
sagnuti: em, im
fazonirati: am, em
pritiskati: am, im
razgolititi: im, jem
prepicati: em, am
tralakati: am, im
odići: em, im
raskaliti: im, jem
izrelativizirati: am, im
pametovati: jem, im
gušivati: am, jem
zakruživati: am, jem
jauknuti: em, im
utamničiti: im, am
odgonetati: am, em
izlakirati: am, em
uskakivati: jem, am
uštrojivati: am, jem
iskarati: am, im
skičati: im, am
smantavati: am, im
ukopišćivati: jem, am
pribjegnuti: em, im
tovarivati: jem, am
prošiknuti: em, im
tangati: am, em
kljuknuti: em, im
ukoljenčiti: im, am
raziti: em, im
rigivati: jem, am
isfurati: am, em
osunčavati: am, im
odmjenjivati: jem, em
iskrivudati: am, im
magati: em, am
gutavati: am, im
oblokati: em, am
utamaniti: im, em
glaviti: im, am
iščlanjivati: jem, am
strčavati: am, im
zbućkati: am, im
abolirati: am, im
zarušivati: jem, am
preploviti: im, jem
zakiseljivati: am, jem
naprćiti: im, em
znojavati: am, jem
sasijecati: am, im
cvoktati: im, am
zatreštati: im, am
šablonizirati: am, im
pašćivati: jem, am
fruktificirati: am, im
povećavati: jem, am
uzročiti: im, am
kapljivati: jem, am
razmrsiti: im, am
dosnimiti: im, am
iskopnjavati: am, jem
pišati: am, em
jarivati: jem, am
prizećivati: jem, am
napikavati: am, im
posklizivati: am, jem
inundirati: am, em
obespametiti: im, jem
ukrivljivati: jem, am
glogotati: em, am
uzrujati: im, am
glackati: am, im
iskrvaviti: im, am
razmućivati: jem, am
odgrabiti: im, am
kutriti: im, am
skorubljivati: jem, am
mjeruckati: am, im
deeuropeizirati: am, em
crnjivati: jem, am
nadoškolovati: jem, am
iskalkulirati: am, im
prelamati: am, jem
košnuti: em, im
barabljivati: jem, am
natrackavati: am, im
šokirati: am, em
preglasati: am, em
prostirati: am, em
hlepjeti: im, jem
popravoslavljivati: jem, am
iskesivati: jem, em
prebrođivati: jem, am
oblagorođivati: jem, am
uštrojiti: im, jem
odbrojati: im, am
triplirati: em, am
ranjaviti: im, jem
korijeniti: im, jem
ižarivati: jem, am
sjedničariti: im, jem
ušančivati: jem, am
odmakati: em, am
brenčati: am, jem
omrazivati: jem, am
prosvjetariti: im, am
poispremetati: am, em
sagrešivati: am, jem
uskopitavati: am, im
usukati: em, am
blekati: em, am
deklinirati: am, im
zamijauknuti: em, im
nacjeđivati: jem, am
izgrtati: em, am
prokljuviti: im, am
vakcinirati: am, im
krsavati: am, jem
umlačiti: im, jem
rasturati: am, im
slavenjivati: jem, am
uresivati: jem, em
imeničiti: im, am
raspigati: em, jem
prikucati: am, im
razjaditi: im, am
petljavati: am, jem
kompjutorizirati: am, im
porabiti: im, am
utržiti: im, jem
popuhavati: am, em
makati: em, am
uliti: im, em
promumlati: am, jem
brušivati: am, jem
prosječiti: im, jem
hibemizirati: am, em
stezati: em, am
kradati: am, im
procjeđivati: jem, am
advokatovati: jem, am
soptavati: am, im
sasipati: am, im
marati: am, im
premučati: im, jem
buđaviti: im, am
zaošijavati: am, jem
mudriti: im, jem
porobljavati: am, jem
zašnirati: am, em
nadimiti: im, ijem
nivelirati: am, em
zadobivati: am, em
nalijetati: em, am
ruinirati: am, em
počkaliti: im, jem
samotovati: jem, im
bješnjivati: jem, im
prekrivati: am, jem
stinjati: jem, am
otpuzati: em, am
napenaliti: im, em
utjelovljivati: jem, am
serdarovati: jem, am
đipiti: im, jem
ukazati: em, am
projedriti: im, jem
dokupljivati: jem, am
skrhati: am, im
poživinčiti: im, am
ujagmiti: im, am
ricati: em, am
razvrnuti: em, im
pravoslaviti: im, am
supotpisivati: jem, am
prosvanuti: em, im
upodrumljivati: jem, am
šišavati: am, em
dernjati: am, jem
izvitoperivati: jem, am
dokradati: am, im
porugati: am, em
kamenjivati: jem, em
lijetati: em, am
kalafatati: am, em
pućnuti: em, im
trućnuti: em, im
zahuktati: em, am
kuglati: am, im
smjehivati: jem, am
kartavati: am, im
desakralizirati: am, im
hibridizirati: am, im
salijetati: em, am
pervaziti: im, em
hladovati: jem, am
dogalopirati: am, em
disciplinirati: am, em
zarzavati: em, am
zapamćivati: jem, am
premisliti: im, em
prikraćivati: jem, am
raspopiti: ijem, im
razmrznuti: em, im
izvraćati: am, em
zavihoriti: im, am
dokirati: am, em
zavojničiti: im, jem
prodobriti: im, am
okušavati: am, im
loživati: jem, em
namisliti: im, em
badati: am, em
šaravati: am, jem
oplaćivati: jem, am
naolličiti: im, jem
pročupati: am, im
pocrnjivati: jem, am
preoblikovati: jem, am
odglumljivati: jem, am
zacrtavati: am, im
zaleći: em, im
obdjeljati: am, jem
crtkarati: am, im
ojunačivati: jem, am
prorađivati: jem, am
gleđosati: am, im
pritješnjivati: im, jem
nadoštuklati: am, jem
razdražiti: im, em
snifati: am, em
čepljuskati: am, im
šušuriti: im, am
oplaviti: im, ijem
raskućiti: im, jem
tvarati: am, im
isklesavati: jem, em
škrbotati: am, im
zatirati: am, em
grmiti: im, jem
okađivati: jem, am
zavrći: em, jem
odadrijeti: em, jem
ekstrapolirati: am, im
isijati: ijem, am
potpirivati: jem, am
obudoviti: im, jem
rašopati: am, im
mijeniti: im, em
potalijančiti: im, em
zacijepiti: im, jem
zdravljivati: jem, am
restipulirati: am, em
učaravati: am, jem
anotirati: am, em
aktivirati: am, im
hakati: em, am
instrumentirati: am, em
šnapslati: am, jem
soptati: am, em
zastranjivati: jem, am
signalizirati: am, em
opatrnjivati: am, em
maknuti: em, im
uveličati: am, im
momčiti: im, am
prepečatiti: im, jem
okrupnjati: am, jem
dogotavljati: am, em
potpasati: em, im
treptati: am, jem
okradati: am, em
tijesniti: im, jem
fermavati: am, im
presedlavati: am, jem
žvakivati: jem, am
blenjivati: jem, em
zaskakati: em, am
nenavidjeti: im, jem
šijati: am, jem
izgutati: am, em
precrtavati: am, im
saldumljivati: jem, am
izlogirati: am, em
breknuti: em, im
raskrvariti: im, jem
napasati: em, am
mudrolijati: am, em
oduzlati: am, jem
užutjeti: im, jem
zabeštimati: jem, am
zakazivati: jem, em
kućivati: jem, am
glogoljiti: im, jem
gučivati: am, jem
prizetiti: im, am
ličivati: jem, am
izdepilirati: am, em
konvenirati: am, im
provaljati: im, jem
zagrmljivati: jem, am
adjudicirati: am, im
natentati: am, em
zapomoći: em, jem
snajpirati: am, em
umućkati: am, im
preslagivati: jem, em
stremiti: im, am
ižicati: am, em
dovaljati: am, jem
etalonirati: am, im
marketingirati: am, im
rotiti: im, ijem
sjeknuti: em, im
čvrkati: em, am
kljaštrivati: jem, am
materijalizirati: am, em
iznervirati: am, im
nabiflati: am, jem
plakirati: am, em
pokopčati: am, em
čvršćivati: jem, am
koljivati: jem, am
ćućivati: jem, am
zabarikadirati: am, em
apologetizirati: am, em
premicati: em, am
raskusurati: am, em
zagrgotati: em, am
zavikivati: jem, am
razuzlati: am, jem
tapirati: em, am
nagraisati: am, im
razumljivati: jem, am
premlaćivati: jem, am
izmokriti: im, jem
šuštavati: am, im
mlaćivati: jem, am
homogenizirati: am, im
njisnuti: em, jem
proškiljiti: im, jem
oblokavati: am, im
poplavjeti: im, am
preraštati: am, im
podvajati: am, jem
biserivati: jem, am
zapljuskivati: jem, am
kokodaknuti: em, im
potkačivati: jem, am
pouljiti: im, jem
išempjati: am, jem
popukati: em, am
razdramiti: im, jem
pricvrljiti: im, ijem
izmljeti: jem, em
čoriti: im, am
dotkati: am, em
ljuljušnuti: em, im
namežurati: am, im
disocirati: am, im
preuveličavati: am, im
prevraćati: am, em
ušmrkati: am, em
popržiti: im, em
podsađivati: jem, am
zauljiti: im, jem
pogrubjeti: im, am
predeterminirati: am, em
ožaljivati: jem, am
priklapati: am, im
falsificirati: am, im
skapčati: am, em
pozaspati: im, am
honorirati: am, em
uglibljivati: jem, am
zbariti: im, jem
potući: em, jem
kvačivati: jem, am
čaravati: am, jem
gorijevati: am, jem
zabridjeti: im, em
prešućivati: jem, am
prestaviti: im, am
preturati: am, im
posrećivati: jem, am
mrštiti: im, ijem
obnemoći: em, jem
ovapnjivati: jem, am
uščitavati: am, im
ušutkivati: jem, am
zacijeniti: im, jem
tabavati: am, jem
izmrviti: im, am
restaurirati: am, em
ručivati: jem, am
promočiti: im, am
utočnjivati: am, jem
štapiti: im, jem
oplićati: am, em
prerešetati: am, em
nadgornjati: am, jem
bucati: am, im
proslovljivati: jem, am
strpati: am, im
pamćivati: jem, am
bjegati: am, em
razjedinjivati: am, jem
fermati: am, im
uprazniti: im, em
nastirati: em, am
kršivati: jem, am
politirati: am, em
regulirati: am, im
odzdraviti: im, am
značivati: jem, am
đikati: em, am
odlunjati: am, jem
iskaišati: am, im
kakati: em, am
odvaljivati: jem, am
nacrtavati: am, im
nasisati: am, em
prasivati: jem, am
caktati: em, am
uzorkovati: jem, am
samospoznati: am, em
vrjednovati: jem, am
opizditi: im, am
popriložiti: im, jem
manjkavati: am, im
iskljuvati: jem, am
sektorizirati: am, im
pričinjati: jem, am
zavrćivati: jem, am
mješavati: am, em
konfrontirati: am, im
proćaskati: am, em
sfušariti: im, jem
ponapiti: ijem, im
razlikovati: jem, am
pripremati: am, jem
bjesniti: im, jem
opodručiti: im, jem
trančirati: am, im
odgrnuti: em, im
transpirirati: am, em
insistirati: am, em
nadvještačiti: im, jem
progurati: am, em
šaptavati: am, im
rakljiti: im, am
ustegnuti: em, im
novinariti: im, am
otkličivati: jem, am
omrkati: em, am
sopiti: im, jem
stojati: im, am
češkati: am, im
pajati: am, jem
katančiti: im, am
skrštavati: am, im
pocinčavati: am, im
brajati: am, jem
pijuknuti: em, im
repljivati: jem, am
peškati: am, im
prepeći: em, im
ubražđivati: jem, am
relegirati: am, em
preuveličati: am, em
mjećivati: jem, am
zalivati: am, jem
omršavljivati: am, jem
omlatiti: im, jem
udvostručavati: am, im
krmeljiti: im, jem
skotrljavati: am, jem
kontrastirati: am, im
podsticati: am, em
naspati: am, im
zaplavljivati: jem, am
čamovati: jem, am
čvoknuti: em, im
prosjati: im, am
seljivati: jem, am
očađiti: im, jem
donašati: am, em
rasedlavati: am, jem
kremirati: am, im
razveseljivati: jem, am
umicati: em, am
nadosnimiti: im, am
prizidati: am, em
nakašljavati: am, jem
poškropiti: im, am
ljućivati: jem, am
rogačivati: am, jem
konfiscirati: am, im
pognjaviti: im, jem
zakupljivati: jem, am
zabećariti: im, jem
aferašiti: im, am
upotpunjivati: jem, em
doglašavati: am, im
popikavati: am, im
preskakivati: jem, am
editirati: am, im
humanizirati: am, em
profunkcionirati: am, im
zavojštiti: im, am
mitingovati: jem, am
razaznavati: jem, em
koagulirati: am, im
izvidjeti: im, em
ozepsti: em, jem
haklati: jem, am
pocrkavati: am, im
šetavati: am, im
brecnuti: em, im
spoticati: em, am
ispućivati: jem, am
nagaraviti: im, am
potplesti: em, jem
odrvavati: am, em
odmrznuti: em, im
flektirati: am, em
djevičivati: jem, am
zlaćivati: jem, am
nalegnuti: em, im
odaprijeti: em, jem
adjustirati: am, em
iskorjenjivati: jem, em
aromatizirati: am, em
upakirati: am, em
romanizirati: am, im
nacvrckati: am, em
štrapati: am, im
okrutjeti: im, ijem
okvalificirati: am, em
anihilirati: am, em
usrljati: em, am
bivakovati: jem, im
plijesniti: im, em
kvasati: em, am
važivati: jem, am
pridušivati: jem, am
preregistrirati: am, em
izmoljavati: am, jem
basrljati: am, im
pobakrivati: am, jem
razgnjeviti: im, am
odčepiti: im, jem
zapaprivati: am, jem
zalotati: em, am
četnikovati: jem, am
pikulati: am, jem
razgovoriti: im, am
peljati: am, jem
stresati: am, em
ukopistiti: im, jem
razvoditi: im, am
iščehati: am, em
denjati: am, jem
mumificirati: am, im
propitkivati: jem, am
cindrati: am, em
bređivati: jem, am
mladovati: jem, am
krovljivati: jem, am
bugariti: im, jem
zlovoljiti: im, jem
radioficirati: am, im
domicati: em, am
nalickati: am, em
ugruhati: am, em
dosuđivati: jem, am
natkroviti: im, am
upreći: em, im
dotočiti: im, jem
trliti: im, jem
ukrijepiti: im, em
opstrijeti: im, em
eksplorirati: am, im
pridruživati: jem, am
prevlađivati: jem, am
obijeljeti: im, am
ogrebati: am, im
zanjihati: em, jem
miravati: am, jem
počađavjeti: im, am
feudalizirati: am, im
preorijentirati: am, em
utucati: am, im
odnarođivati: jem, am
bašurivati: jem, am
sazdavati: jem, am
ozlojediti: im, am
sticati: em, am
razarati: am, em
šapirografirati: am, em
luditi: im, am
nakrasti: em, jem
potepati: am, im
zaplamtjeti: im, am
opskakati: em, am
stepenovati: jem, im
đornuti: em, im
pozaboravljati: am, em
revindicirati: am, im
pregrizati: am, em
progargašati: am, im
zanjakati: em, im
koturavati: am, jem
naprčiti: im, am
zalogajivati: jem, am
sjeđivati: jem, am
zgrudvati: jem, am
prozviždavati: jem, am
zakošavati: am, im
popunjivati: jem, em
priroditi: im, am
fuzionirati: am, em
rđati: am, em
zakoroviti: im, am
kokavati: am, im
ukivati: am, jem
podbrusivati: am, jem
rašepuriti: im, am
luftati: am, em
napiknuti: em, jem
naštrikati: am, em
zabređati: am, im
ovršiti: im, am
strajati: jem, am
zašmirati: am, em
smuditi: im, am
golatavati: am, im
bluđivati: jem, am
zatelebavati: am, em
razlijevati: am, em
konsternirati: am, im
zimiti: im, ijem
furati: am, em
dotrajavati: am, jem
ošećeriti: im, jem
certificirati: am, em
pripomagati: em, jem
prisisavati: am, jem
zažnirati: am, em
uzgakati: am, em
drucati: am, im
štrojiti: im, jem
vrijeći: em, im
efektuirati: am, im
preopteretiti: im, am
zloporabiti: im, jem
popridjeviti: im, am
namreškavati: am, im
oguglati: am, im
pravljivati: jem, am
udostojati: im, am
zamukati: am, em
prišljamčiti: im, am
otkovati: jem, am
latinizirati: am, em
uobručivati: jem, am
stranpučiti: im, jem
narugivati: jem, am
znavati: jem, em
zapjenjivati: jem, em
zliti: ijem, im
hipertrofirati: am, im
varivati: jem, am
okrajčivati: jem, am
pobolijevati: am, em
obmatati: em, am
razviđati: am, em
prezrijevati: am, jem
preliti: im, em
vehnuti: em, jem
afrikanizirati: am, em
ajmeknuti: em, im
razmjerati: am, im
čekivati: jem, am
rashodovati: jem, am
dogarati: am, im
izmudrivati: am, jem
vrsti: em, jem
presnimavati: am, im
pozavezati: em, im
infiltrirati: am, im
kajkati: am, em
rašivati: am, jem
uposlivati: am, jem
bljeskati: am, em
mumlati: am, jem
barati: am, em
napripovijedati: am, im
poklizavati: am, em
uzbacivati: jem, am
muckivati: jem, am
popravoslaviti: im, am
raskljucati: am, em
dubljivati: jem, am
razatkati: am, em
očehnuti: em, jem
potuliti: im, jem
sklupčavati: am, im
stuštavati: am, im
prigorjeti: im, am
utovljivati: jem, am
deflorirati: am, im
bravljivati: jem, am
utomiti: im, am
debatirati: am, em
čeljavati: am, jem
klesavati: em, jem
pošpricati: am, im
dotaknuti: em, im
ispoprečivati: jem, am
spurivati: jem, am
uljuditi: im, am
hodočastiti: im, jem
rastresati: am, em
podsaditi: im, am
podstreknuti: em, im
dogotovljavati: am, jem
razmjestiti: im, jem
razračunavati: am, jem
izgrmjeti: im, em
pupiti: im, ijem
napucavati: am, im
sjeći: em, im
zacrtati: am, im
smjerivati: jem, am
zaklamati: am, jem
prozračiti: im, jem
prćiti: im, em
dogmizati: em, am
revotirati: am, em
istrabunjati: am, jem
iščahurivati: am, jem
slojiti: im, jem
sparušivati: am, jem
izdrapati: am, im
dopiriti: im, jem
prezalogajiti: im, jem
kljucnuti: em, im
rezonirati: am, em
nadajati: am, jem
preokupirati: am, em
dohranjivati: jem, am
ocvjetavati: am, im
okrutiti: im, jem
ozvučivati: jem, am
obojati: am, im
