abdiciram,abdicirati
cimam,cimati
cincarim,cincariti
cinkam,cinkati
citiram,citirati
cizeliram,cizelirati
cjelivam,cjelivati
cjenkam,cjenkati
cjepkam,cjepkati
cmizdrim,cmizdriti
cmoknem,cmoknuti
copram,coprati
crkavam,crkavati
crknem,crći
crnim,crniti
crpem,crpsti
crpim,crpiti
crtam,crtati
crtkam,crtkati
crvenim,crveniti
cuclam,cuclati
cugam,cugati
cupkam,čupkati
curim,curiti
cvatem,cvasti
cvikam,cvikati
cvilim,cviljeti
cvjetam,cvjetati
cvokoćem,cvokotati
cvrcnem,cvrcnuti
cvrkućem,cvrkutati
čađavim,čađavjeti
čamim,čamiti
čaram,čarati
častim,častiti
čavrljam,čavzljati
čekam,čekati
čekićam,čekićati
čeprkam,čeprkati
čestitam,čestitati
češem,češati
češljam,češljati
čeznem,čeznuti
činim,činiti
čistim,čistiti
čitam,čitati
črčkam,črčkati
čučim,čučati
čučnem,čučnuti
čudim,čuditi
čujem,čuti
čupam,čupati
čuvam,čuvati
čuvstvujem,čuvstvovati
ćušnem,ćušnuti
ćutim,ćutjeti
dadem,dati
dadnem,dati
dahnem,dahnuti
dajem,davati
dam,dati
dangubim,dangubiti
danujem,danovati
darnem,darnuti
darujem,darovati
dašćem,dahtati
datiram,datirati
davim,daviti
daždim,daždjeti
debelim,debeliti
debitiram,debitirati
debljam,debljati
deduciram,deducirati
defiliram,defilirati
definiram,definirati
degažiram,degažirati
deklamiram,deklamirati
dekoriram,dekorirati
dekretiram,dekretirati
dekuražiram,dekuražirati
delegiram,delegirati
deložiram,deložirati
demantiram,demantirati
demilitariziram,demilitarizirati
demisioniram,demisionirati
demobiliziram,demobilizirati
demoliram,demolirati
demonstriram,demonstrirati
denaturiram,denaturirati
denotiram,denotirati
denunciram,denuncirati
deponiram,deponirati
deportiram,deportirati
deranžiram,deranžirati
derem,derati
desetkujem,desetkovati
designiram,designirati
desim,desiti
destiliram,destilirati
dešavam,dešavati
dešifriram,dešifrirati
detaljiziram,detaljizirati
detaširam,detaširati
determiniram,determinirati
detroniziram,detronizirati
deveram,deverati
devetam,devetati
dezavuiram,dezavuirati
dezinficiram,dezinficirati
dezintegriram,dezintegrirati
dezinvestiram,dezinvestirati
dezorganiziram,dezorganizirati
dežuram,dežurati
difamiram,difamirati
dignem,dignuti
dijagnosticiram,dijagnosticirati
dijalogiziram,dijalogizirati
dijelim,dijeliti
diktiram,diktirati
dimenzioniram,dimenzionirati
diplomatiziram,diplomatizirati
diplomiram,diplomirati
diram,dirati
dirigiram,dirigirati
dirkam,dirkati
dirnem,dirnuti
diskreditiram,diskreditirati
diskriminiram,diskriminirati
diskutiram,diskutirati
diskvalificiram,diskvalificirati
dislociram,dislocirati
distingviram,distingvirati
distoniram,distonirati
distribuiram,distribuirati
dišem,disati
divanim,divaniti
divergiram,divergirati
divim,diviti
diviniziram,divinizirati
divljam,divljati
dižem,dizati
djelam,djelati
djelujem,djelovati
djenem,djenuti
djetinjarim,djetinjariti
djetinjim,djetinjiti
djeverujem,djeverovati
dobacim,dobaciti
dobacujem,dobacivati
dobavim,dobaviti
dobavljam,dobavljati
dobijem,dobiti
dobivam,dobivati
dobošarim,dobošariti
dobrzam,dobrzati
dobujem,dobovati
dočaram,dočarati
dočekam,dočekati
dočekujem,dočekivati
dočepam,dočepati
dočitam,dočitati
dočujem,dočuti
dodajem,dodavati
dodam,dodati
dodijam,dodijati
dodijavam,dodijavati
dodijelim,dodijeliti
dodijem,dodijati
dodirnem,dodirnuti
dodirujem,dodirivati
dodjeljujem,dodjeljivati
dodvoravam,dodvoravati
dodvorim,dodvoriti
dođem,doći
događam,događati
dogegam,dogegati
dognam,dognati
dogodim,dogoditi
dogorim,dogorjeti
dogotovim,dogotoviti
dogovaram,dogovarati
dogovorim,dogovoriti
dogradim,dograditi
dograđujem,dograđivati
dogrdim,dogrdjeti
dogulim,doguliti
doguram,dogurati
dogustim,dogustiti
dohodim,dohoditi
dohranim,dohraniti
dohvaćam,dohvaćati
dohvatim,dohvatiti
doimam,doimati
doimljem,doimati
dojadim,dojaditi
dojavim,dojaviti
dojavljujem,dojavljivati
dojim,dojiti
dojmim,dojmiti
dojurim,dojuriti
dokazujem,dokazivati
dokažem,dokazati
dokidam,dokidati
dokinem,dokinuti
doklatarim,doklatariti
doknadim,doknaditi
dokoličim,dokoličiti
dokončam,dokončati
dokopam,dokopati
dokotrljam,dokotrljati
dokrajčim,dokrajčiti
dokrajčujem,dokrajčivati
doktoriram,doktorirati
dokučim,dokučiti
dokučujem,dokučivati
dokumentiram,dokumentirati
dokupim,dokupiti
dokusurim,dokusuriti
dolazim,dolaziti
dolepršam,dolepršati
doletim,doletjeti
doličim,doličiti
dolijam,dolijati
dolijem,doliti
dolikujem,dolikovati
dolivam,dolijevati
domahnem,domahnuti
domamim,domamiti
domašim,domašiti
dometam,dometati
dometnem,dometnuti
dominiram,dominirati
domislim,domisliti
domišljam,domišljati
domognem,domoći
domunđavam,domunđavati
donalijem,donaliti
donesem,donesti
donosim,donositi
dopadam,dopadati
dopadnem,dopasti
dopeljam,dopeljati
dopirem,dopirati
dopisujem,dopisivati
dopišem,dopisati
dopitam,dopitati
doplatim,doplatiti
doplavim,doplaviti
dopratim,dopratiti
doprem,doprijeti
dopremam,dopremati
dopremim,dopremiti
doprinesem,doprinijeti
doprinosim,doprinositi
dopunim,dopuniti
dopustim,dopustiti
dopuštam,dopuštati
doputujem,doputovati
doradim,doraditi
dorastem,dorasti
dosadim,dosaditi
dosađujem,dosađivati
dosegnem,doseći
dosjetim,dosjetiti
dosolim,dosoliti
dospem,dosuti
dospijem,dospjeti
dostajem,dostajati
dostavim,dostaviti
dostignem,dostići
dosudim,dosuditi
došapnem,došapnuti
doštampam,doštampati
došuljam,došuljati
dotaknem,dotaći
doteknem,doteći
dotepem,dotepsti
dotičem,doticati
dotiram,dotirati
dotiskam,dotiskati
dotječem,dotjecati
dotužim,dotužiti
doumim,doumiti
dovabim,dovabiti
dovedem,dovesti
dovezem,dovesti
dovijam,dovijati
dovikujem,dovikivati
dovodim,dovoditi
dovozim,dovoziti
dovršim,dovršiti
dovučem,dovući
dozidam,dozidati
dozivam,dozivati
dozlogrdim,dozlogrditi
doznačujem,doznačivati
doznajem,doznavati
doznam,doznati
dozorim,dozoriti
dozovem,dozvati
dozovljavam,dozovljavati
dozrijevam,dozrijevati
dozrim,dozreti
dozvolim,dozvoliti
dozvoljavam,dozvoljavati
doživim,doživjeti
dragam,dragati
dramatiziram,dramatizirati
drapiram,drapirati
draškam,draškati
dražim,dražiti
dreknem,dreknuti
dremuckam,dremuckati
dreniram,drenirati
drhtim,drhtati
drhturim,drhturiti
drijemam,drijemati
driješim,driješiti
drljam,drljati
drmam,drmati
drmnem,drmnuti
drmusam,drmusati
drndam,drndati
drobim,drobiti
drombuljam,drombuljati
drpnem,drpnuti
drugujem,drugovati
drukam,drukati
drvenim,drveniti
drznem,drznuti
držim,držati
dubem,dupsti
dubim,dubiti
dubliram,dublirati
dugujem,dugovati
duljim,duljiti
duram,durati
durim,duriti
dušem,duhati
dužim,dužiti
dvorim,dvoriti
dvoumim,dvoumiti
egzistiram,egzistirati
ekaviziram,ekavizirati
ekipiram,ekipirati
ekonomiziram,ekonomizirati
ekraniziram,ekranizirati
ekshumiram,ekshumirati
ekskomuniciram,ekskomunicirati
ekspandiram,ekspandirati
ekspediram,ekspedirati
ekspliciram,eksplicirati
eksplodiram,eksplodirati
eksportiram,eksportirati
ekvilibriram,ekvilibrirati
elaboriram,elaborirati
elektriziram,elektrizirati
emajliram,emajlirati
emigriram,emigrirati
emitiram,emitirati
erodiram,erodirati
eskiviram,eskivirati
etiketiram,etiketirati
evakuiram,evakuirati
evaporiram,evaporirati
evociram,evocirati
evoluiram,evoluirati
fabriciram,fabricirati
fabuliram,fabulirati
falim,faliti
fantaziram,fantazirati
farbam,farbati
fasciniram,fascinirati
fauliram,faulirati
favoriziram,favorizirati
federiram,federirati
fehtam,fehtati
fermentiram,fermentirati
fićukam,fićukati
figuriram,figurirati
fijučem,fijukati
fijuknem,fijuknuti
fiksiram,fiksirati
filam,filati
filozofiram,filozofirati
filtriram,filtrirati
finaliziram,finalizirati
financiram,financirati
flaširam,flaširati
fluktuiram,fluktuirati
foliram,folirati
formiram,formirati
formuliram,formulirati
forsiram,forsirati
fotokopiram,fotokopirati
frapiram,frapirati
fraziram,frazirati
frcam,frcati
frčem,frkati
frfljam,fzfljati
frkćem,frktati
frknem,frknuti
fućkam,fućkati
fuflam,fuflati
fufljam,fufljati
fugiram,fugirati
fuliram,fulirati
funkcioniram,funkcionirati
furim,furiti
furniram,furnirati
gacam,gacati
gačem,gakati
gadim,gaditi
gađam,gađati
gajim,gajiti
galamim,galamiti
galopiram,galopirati
ganjam,ganjati
garantiram,garantirati
garažiram,garažirati
garim,gariti
garniram,garnirati
gasim,gasiti
gasnem,gasnuti
gatam,gatati
gazim,gaziti
gaziram,gazirati
gegam,gegati
gegucam,gegucati
generaliziram,generalizirati
generiram,generirati
gibam,gibati
gicam,gicati
giljotiniram,giljotinirati
gimnasticiram,gimnasticirati
ginem,ginuti
gizdam,gizdati
glačam,glačati
gladim,gladiti
gladujem,gladovati
glagoljam,glagoljati
glancam,glancati
glasam,glasati
glasujem,glasovati
glavinjam,glavinjati
glazbujem,glazbovati
glaziram,glazirati
gledam,gledati
globim,globiti
glodam,glodati
gložim,gložiti
glumatam,glumatati
glumim,glumiti
gluparam,gluparati
gluparim,gluparati
glupim,glupjeti
glušim,glušiti
gmižem,gmizati
gnijezdim,gnijezditi
gnojim,gnojiti
gnušam,gnušati
gnjavim,gnjaviti
gnjecam,gnjecati
gnječim,gnječiti
gnjetem,gnjesti
gnjevim,gnjeviti
gnjijem,gnjiti
gnjilim,gnjiliti
godim,goditi
gojim,gojiti
golicam,golicati
gombam,gombati
gomilam,gomilati
gonetam,gonetati
gonim,goniti
gorčam,gorčati
gordim,gorditi
gorim,gorjeti
goropadim,goropaditi
gospodarim,gospodariti
gospodujem,gospodovati
gostujem,gostovati
gotovim,gotoviti
govorim,govoriti
govorkam,govorkati
grabim,grabiti
grabljam,grabljati
grabuljam,grabuljati
gradim,graditi
gradiram,gradirati
grakćem,graktati
gramzim,gramziti
granam,granati
graničim,graničiti
graviram,gravitirati
grbačim,grbačiti
grbavim,grbavjeti
grbim,grbiti
grcam,grcati
grcnem,grcnuti
grčim,grčiti
grdim,grditi
grebem,grepsti
grebenam,grebenati
greznem,greznuti
grgljam,grgljati
grgoćem,grgotati
grgoljim,grgoljiti
grgorim,grgoriti
grgutam,grgutati
grickam,grickati
grijem,grijati
griješim,griješiti
grintam,grintati
griskam,griskati
grizem,gristi
griznem,griznuti
grizuckam,grizuckati
grlim,grliti
grmim,grmjeti
grmnem,grmnuti
grogiram,grogirati
grohoćem,grohotati
grokćem,groktati
grozim,groziti
grstim,grstiti
grubim,grubjeti
grudam,grudati
grundiram,grundirati
grunem,grunuti
grupiram,grupirati
grušam,grušati
gruvam,gruvati
gubim,gubiti
gucnem,gucnuti
gučem,gukati
gudim,gudjeti
gugućem,gugutati
gulim,guliti
gundram,gundrati
gunđam,gunđati
guram,gurati
gurkam,gurkati
gurnem,gurnuti
gusarim,gusariti
guslam,guslati
gustiram,gustirati
gušim,gušiti
guštam,guštati
gutam,gutati
gutnem,gutnuti
gužvam,gužvati
gvirim,gviriti
habam,habati
hajem,hajati
haluciniram,halucinirati
hapsim,hapsiti
haračim,haračiti
haram,harati
hazardiram,hazardirati
heklam,heklati
hendikepiram,hendikepirati
hihoćem,hihotati
hinim,hiniti
hiperboliziram,hiperbolizirati
hipnotiziram,hipnotizirati
hitam,hitati
hitim,hititi
hitnem,hitnuti
hladim,hladiti
hlapim,hlapiti
hodam,hodati
hodim,hoditi
hramam,hramati
hranim,hraniti
hrdam,hrdati
hrlim,hrliti
hrskam,hrskati
hučem,hukati
hujim,hujati
hulim,huliti
huškam,huškati
hvalim,hvaliti
hvalisam,hvalisati
hvališem,hvalisati
hvastam,hvastati
hvatam,hvatati
idealiziram,idealizirati
idem,ići
identificiram,identificirati
igram,igrati
ilustriram,ilustrirati
imam,imati
imenujem,imenovati
imigriram,imigrirati
imitiram,imitirati
imponiram,imponirati
impregniram,impregnirati
impresioniram,impresionirati
improviziram,improvizirati
inatim,inatiti
inauguriram,inaugurirati
indiciram,indicirati
indisponiram,indisponirati
inficiram,inficirati
informiram,informirati
inhaliram,inhalirati
iniciram,inicirati
inkasiram,inkasirati
inkomodiram,inkomodirati
inkorporiram,inkorporirati
inoviram,inovirati
insceniram,inscenirati
insinuiram,insinuirati
instaliram,instalirati
interesiram,interesirati
interniram,internirati
interveniram,intervenirati
intervjuiram,intervjuirati
intoniram,intonirati
investiram,investirati
inzistiram,inzistirati
iritiram,iritirati
iscerim,isceriti
iscijedim,iscijediti
iscijelim,iscijeliti
iscijepam,iscijepati
iscjeljujem,iscjeljivati
iscrpem,iscrpsti
iscrpim,iscrpiti
iscrpljujem,iscrpljivati
iscrtam,iscrtati
iscurim,iscuriti
iselim,iseliti
iseljavam,iseljavati
isforsiram,isforsirati
isfrigam,isfrigati
isfućkam,isfućkati
ishitrim,ishitriti
ishlapim,ishlapjeti
ishlapljujem,ishlapljivati
ishodam,ishodati
ishodim,ishoditi
isijavam,isijavati
isiječem,isjeći
isipam,isipati
isisam,isisati
isisavam,isisavati
isjeckam,isjeckati
iskačem,iskakati
iskalim,iskaliti
iskaljujem,iskaljivati
iskamčim,iskamčiti
iskapam,iskapati
iskapčam,iskapčati
iskapim,iskapiti
iskašljem,iskašljati
iskazujem,iskazivati
iskažem,iskazati
iskefam,iskefati
iskesim,iskesiti
iskidam,iskidati
iskilavim,iskilaviti
iskipim,iskipjeti
iskisnem,iskisnuti
iskitim,iskititi
isklešem,isklesati
isklijam,isklijati
isklizavam,isklizavati
iskliznem,iskliznuti
iskližem,isklizati
isključim,isključiti
isključujem,isključivati
iskobeljam,iskobeljati
iskočim,iskočiti
iskolačim,iskolačiti
iskomadam,iskomadati
iskonstruiram,iskonstruirati
iskopam,iskopati
iskopavam,iskopavati
iskopčam,iskopčati
iskopnim,iskopnjeti
iskoprcam,iskoprcati
iskoračim,iskoračiti
iskoraknem,iskoraknuti
iskorijenim,iskorijeniti
iskoristim,iskoristiti
iskorištavam,iskorištavati
iskosim,iskositi
iskradam,iskradati
iskradem,iskrasti
iskrcam,iskzcati
iskrcavam,iskrcavati
iskrčim,iskrčiti
iskrećem,iskretati
iskrenem,iskrenuti
iskrivim,iskriviti
iskrivljavam,iskrivljavati
iskrižam,iskrižati
iskrsavam,iskrsavati
iskrsnem,iskrsnuti
iskrstim,iskzstiti
iskrvarim,iskrvariti
iskrzam,iskrzati
iskuham,iskuhati
iskuhavam,iskuhavati
iskujem,iskovati
iskupim,iskupiti
iskupljujem,iskupljivati
iskusim,iskusiti
iskušam,iskušati
iskušavam,iskušavati
iskvarim,iskvariti
islabim,islabjeti
islamiziram,islamizirati
ismijavam,ismijavati
ismijem,ismijati
ispadam,ispadati
ispadnem,ispasti
ispalim,ispaliti
ispaljujem,ispaljivati
isparam,isparati
isparavam,isparivati
isparim,ispariti
ispaštam,ispaštati
ispatim,ispatiti
ispavam,ispavati
ispečem,ispeći
ispeglam,ispeglati
ispeljam,ispeljati
ispem,isuti
isperem,isprati
ispijam,ispijati
ispijem,ispiti
ispilim,ispiliti
ispipam,ispipati
ispipavam,ispipavati
ispirem,ispirati
ispirim,ispiriti
ispišem,ispisati
ispitam,ispitati
ispitkujem,ispitkivati
ispitujem,ispitivati
isplačem,isplakati
isplaćujem,isplaćivati
isplahnem,isplahnuti
isplaniram,isplanirati
isplatim,isplatiti
isplazim,isplaziti
ispletem,isplesti
isplivam,isplivati
isplovim,isploviti
ispljujem,ispljuvati
ispljunem,ispljunuti
ispljuskam,ispljuskati
ispnem,ispeti
ispolažem,ispolagati
ispolitiziram,ispolitizirati
isporazbijam,isporazbijati
isporučim,isporučiti
isporučujem,isporučivati
isposlujem,isposlovati
ispostavim,ispostaviti
ispostim,ispostiti
ispotim,ispotiti
ispovijedam,ispovijedati
ispovjedim,ispovjediti
ispovraćam,ispovraćati
ispozdravljam,ispozdravljati
isprašim,isprašiti
isprašujem,isprašivati
ispratim,ispratiti
ispravim,ispraviti
ispravljam,ispravljati
ispraznim,isprazniti
ispražnjavam,ispražnjavati
isprebijam,isprebijati
ispredam,ispredati
ispredem,ispresti
ispregnem,ispregnuti
isprekidam,isprekidati
ispremećem,ispremetati
ispremiješam,ispremiješati
ispremještam,ispremještati
isprepadam,isprepadati
ispreplećem,isprepletati
isprepletem,ispreplesti
ispreplićem,ispreplitati
ispresijecam,ispresijecati
ispreskačem,ispreskakati
isprešam,isprešati
isprevrćem,isprevrtati
ispričam,ispričati
ispričavam,ispričavati
ispriječim,ispriječiti
ispripovijedam,ispripovijedati
ispripovjedim,ispripovjediti
isprljam,isprljati
isprobam,isprobati
isprobavam,isprobavati
isprosim,isprositi
isprosipam,isprosipati
isprovociram,isprovocirati
isprsim,isprsiti
ispružim,ispružiti
ispržim,ispržiti
ispsujem,ispsovati
ispucam,ispucati
ispucavam,ispucavati
ispuhujem,ispuhivati
ispuknem,ispuknuti
ispumpam,ispumpati
ispumpavam,ispumpavati
ispunim,ispuniti
ispunjam,ispunjati
ispunjavam,ispunjavati
ispupčim,ispupčiti
ispustim,ispustiti
ispušem,ispuhati
ispuštam,ispuštati
isputim,isputiti
ispužem,ispuzati
istakem,istaći
istaknem,istaći
istanjim,istanjiti
istapam,istapati
istegnem,istegnuti
isteknem,isteći
istešem,istesati
isteturam,isteturati
istežem,istezati
ističem,isticati
istiještim,istiještiti
istiskujem,istiskivati
istisnem,istisnuti
istišćem,istiskati
istječem,istjecati
istjeram,istjerati
istjeravam,istjeravati
istjerujem,istjerivati
istkam,istkati
istočim,istočiti
istopim,istopiti
istovarim,istovariti
istovarujem,istovarivati
istražim,istražiti
istražujem,istraživati
istrčim,istrčati
istreniram,istrenirati
istresam,istresati
istresem,istresti
istrgnem,istrgnuti
istrijebim,istrijebiti
istrijeznim,istrijezniti
istrljam,istrljati
istrošim,istrošiti
istrpam,istrpati
istrugam,istrugati
istrulim,istruliti
istrunem,istrunuti
istrusim,istrusiti
istučem,istući
istupam,istupati
istupim,istupiti
istupljujem,istupljivati
isturim,isturiti
istuširam,istuširati
istutnjim,istutnjiti
isučem,isukati
isušim,isušiti
isušujem,isušivati
išamaram,išamarati
išaram,išarati
iščačkam,iščačkati
iščahurim,iščahuriti
iščašim,iščašiti
iščekujem,iščekivati
iščeprkam,iščeprkati
iščetkam,iščetkati
iščezavam,iščezavati
iščeznem,iščeznuti
iščitam,iščitati
iščitavam,iščitavati
iščuđavam,iščuđavati
iščupam,iščupati
išćem/ištem,iskati
išćuškam,išćuškati
išetam,išetati
išibam,išibati
iškolujem,iškolovati
išmrčem,išmrkati
ištem,iskati
ištipam,ištipati
ištrcam,ištrcati
izaberem,izabrati
izabirem,izabirati
izađem,izaći
izagnam,izagnati
izasipam,izasipati
izaspem,izasuti
izašaljem,izaslati
izazivam,izazivati
izazovem,izazvati
izažimam,izažimati
izažimljem,izažimati
izbacim,izbaciti
izbacujem,izbacivati
izbatinam,izbatinati
izbavim,izbaviti
izbečim,izbečiti
izberem,izbrati
izbezumim,izbezumiti
izbezumljujem,izbezumljivati
izbijam,izbijati
izbijelim,izbijeljeti
izbijem,izbiti
izbivam,izbivati
izbjegavam,izbjegavati
izbjegnem,izbjegnuti
izbjeljujem,izbjeljivati
izblanjam,izblanjati
izblebećem,izblebetati
izblijedim,izblijedjeti
izbljeđujem,izbljeđivati
izbljujem,izbljuvati
izbočim,izbočiti
izbodem,izbosti
izboram,izborati
izborim,izboriti
izbrazdam,izbrazdati
izbrbljam,izbrbljati
izbrišem,izbrisati
izbrojim,izbrojiti
izbrusim,izbrusiti
izbuljim,izbuljiti
izbušim,izbušiti
izdahnem,izdahnuti
izdajem,izdavati
izdam,izdati
izdeklamiram,izdeklamirati
izderem,izderati
izdignem,izdići
izdijelim,izdijeliti
izdiktiram,izdiktirati
izdišem,izdisati
izdižem,izdizati
izdjeljam,izdjeljati
izdovoljim,izdovoljiti
izdrilam,izdrilati
izdrljam,izdrljati
izdrobim,izdrobiti
izdržavam,izdržavati
izdržim,izdržati
izdubem,izdupsti
izdubim,izdubiti
izdubljujem,izdubljivati
izduljim,izduljiti
izdušim,izdušiti
izdužim,izdužiti
izdužujem,izduživati
izdvajam,izdvajati
izdvojim,izdvojiti
izganjam,izganjati
izgaram,izgarati
izgazim,izgaziti
izginem,izginuti
izglačam,izglačati
izgladim,izgladiti
izgladnim,izgladniti
izgladnjujem,izgladnjivati
izglađujem,izglađivati
izglasam,izglasati
izglasujem,izglasovati
izglavim,izglaviti
izgledam,izgledati
izglođem,izglodati
izgnam,izgnati
izgnjavim,izgnjaviti
izgnjijem,izgnjiti
izgnjilim,izgnjiliti
izgonim,izgoniti
izgorim,izgorjeti
izgovaram,izgovarati
izgovorim,izgovoriti
izgradim,izgraditi
izgrađujem,izgrađivati
izgrdim,izgrditi
izgrebem,izgrepsti
izgrizem,izgristi
izgubim,izgubiti
izgulim,izguliti
izguram,izgurati
izgustiram,izgustirati
izgužvam,izgužvati
iziđem,izići
izigram,izigrati
izigravam,izigravati
iziskujem,iziskivati
izjadam,izjadati
izjalovim,izjaloviti
izjasnim,izjasniti
izjašnjavam,izjašnjavati
izjavim,izjaviti
izjavljujem,izjavljivati
izjedam,izjedati
izjedem,izjesti
izjednačim,izjednačiti
izjurim,izjuriti
izlanem,izlanuti
izlazim,izlaziti
izlažem,izlagati
izlemam,izlemati
izletim,izletjeti
izležavam,izležavati
izležem,izleći
izliječim,izliječiti
izlijećem,izlijetati
izlijem,izliti
izlijepim,izlijepiti
izlijevam,izlijevati
izližem,izlizati
izločem,izlokati
izlokavam,izlokavati
izlomim,izlomiti
izlovim,izloviti
izložim,izložiti
izlučim,izlučiti
izlučujem,izlučivati
izludim,izluditi
izluđujem,izluđivati
izlupam,izlupati
izljubim,izljubiti
izmaknem,izmaći
izmanevriram,izmanevrirati
izmaram,izmarati
izmasiram,izmasirati
izmaštam,izmaštati
izmažem,izmazati
izmetem,izmesti
izmetnem,izmetnuti
izmičem,izmicati
izmigoljim,izmigoljiti
izmijenim,izmijeniti
izmijenjam,izmijenjati
izmiješam,izmiješati
izmiksam,izmiksati
izmirim,izmiriti
izmirujem,izmirivati
izmislim,izmisliti
izmišljam,izmišljati
izmjenim,izmjeniti
izmjenjujem,izmjenjivati
izmjerim,izmjeriti
izmjestim,izmjestiti
izmlatim,izmlatiti
izmolim,izmoliti
izmorim,izmoriti
izmotam,izmotati
izmotavam,izmotavati
izmozgam,izmozgati
izmoždim,izmožditi
izmožđujem,izmožđivati
izmučim,izmučiti
izmućkam,izmućkati
izmudrim,izmudriti
izmudrujem,izmudrovati
izmuzem,izmusti
iznađem,iznaći
iznajmim,iznajmiti
iznajmljujem,iznajmljivati
iznakazim,iznakaziti
iznenadim,iznenaditi
iznenađujem,iznenađivati
iznesem,iznijeti
iznevjerim,iznevjeriti
izničem,iznicati
iznojim,iznojiti
iznosim,iznositi
iznudim,iznuditi
iznuđujem,iznuđivati
iznurim,iznuriti
iznjedrim,iznjedriti
izobličavam,izobličavati
izobličim,izobličiti
izobrazim,izobraziti
izobražavam,izobražavati
izokrećem,izokretati
izokrenem,izokrenuti
izoliram,izolirati
izopačim,izopačiti
izopćim,izopćiti
