LEMMA	MSD	INF_G	INF_P
razigrati	V;PRS;NOM(3;SG)	razigram	razigram
participirati	V;PRS;NOM(3;SG)	participiram	participiram
nalijevati	V;PRS;NOM(3;SG)	nalijevam	nalijevam
rascjepkavati	V;PRS;NOM(3;SG)	rascjepkavam	rascjepkavam
osposobljavati	V;PRS;NOM(3;SG)	osposobljavam	osposobljavam
funkcionirati	V;PRS;NOM(3;SG)	funkcioniram	funkcioniram
iskradati	V;PRS;NOM(3;SG)	iskradam	iskradam
natrljati	V;PRS;NOM(3;SG)	natrljam	natrljam
dijagnosticirati	V;PRS;NOM(3;SG)	dijagnosticiram	dijagnosticiram
zamatati	V;PRS;NOM(3;SG)	zamatam	zamatam
zapucati	V;PRS;NOM(3;SG)	zapucam	zapucam
oživljavati	V;PRS;NOM(3;SG)	oživljavam	oživljavam
ovijati	V;PRS;NOM(3;SG)	ovijam	ovijam
prognati	V;PRS;NOM(3;SG)	prognam	prognam
išamarati	V;PRS;NOM(3;SG)	išamaram	išamaram
zapošljavati	V;PRS;NOM(3;SG)	zapošljavam	zapošljavam
razmotavati	V;PRS;NOM(3;SG)	razmotavam	razmotavam
psihologizirati	V;PRS;NOM(3;SG)	psihologiziram	psihologiziram
subordinirati	V;PRS;NOM(3;SG)	subordiniram	subordiniram
nagovještavati	V;PRS;NOM(3;SG)	nagovještavam	nagovještavam
iskoprcati	V;PRS;NOM(3;SG)	iskoprcam	iskoprcam
panirati	V;PRS;NOM(3;SG)	paniram	paniram
batrgati	V;PRS;NOM(3;SG)	batrgam	batrgam
uvećavati	V;PRS;NOM(3;SG)	uvećavam	uvećavam
podragati	V;PRS;NOM(3;SG)	podragam	podragam
citirati	V;PRS;NOM(3;SG)	citiram	citiram
istupati	V;PRS;NOM(3;SG)	istupam	istupam
ispaštati	V;PRS;NOM(3;SG)	ispaštam	ispaštam
locirati	V;PRS;NOM(3;SG)	lociram	lociram
šljakati	V;PRS;NOM(3;SG)	šljakam	šljakam
dodvoravati	V;PRS;NOM(3;SG)	dodvoravam	dodvoravam
smatrati	V;PRS;NOM(3;SG)	smatram	smatram
parirati	V;PRS;NOM(3;SG)	pariram	pariram
oskudijevati	V;PRS;NOM(3;SG)	oskudijevam	oskudijevam
štopati	V;PRS;NOM(3;SG)	štopam	štopam
oribati	V;PRS;NOM(3;SG)	oribam	oribam
namotati	V;PRS;NOM(3;SG)	namotam	namotam
olakšavati	V;PRS;NOM(3;SG)	olakšavam	olakšavam
izudarati	V;PRS;NOM(3;SG)	izudaram	izudaram
perpetuirati	V;PRS;NOM(3;SG)	perpetuiram	perpetuiram
posipati	V;PRS;NOM(3;SG)	posipam	posipam
pripovijedati	V;PRS;NOM(3;SG)	pripovijedam	pripovijedam
dezinficirati	V;PRS;NOM(3;SG)	dezinficiram	dezinficiram
odbijati	V;PRS;NOM(3;SG)	odbijam	odbijam
podraškati	V;PRS;NOM(3;SG)	podraškam	podraškam
klijati	V;PRS;NOM(3;SG)	klijam	klijam
krzmati	V;PRS;NOM(3;SG)	krzmam	krzmam
biti	V;PRS;NOM(3;SG)	bim	bim
tužakati	V;PRS;NOM(3;SG)	tužakam	tužakam
pipati	V;PRS;NOM(3;SG)	pipam	pipam
salutirati	V;PRS;NOM(3;SG)	salutiram	salutiram
začaravati	V;PRS;NOM(3;SG)	začaravam	začaravam
istrljati	V;PRS;NOM(3;SG)	istrljam	istrljam
sastajati	V;PRS;NOM(3;SG)	sastajam	sastajam
saznati	V;PRS;NOM(3;SG)	saznam	saznam
kukičati	V;PRS;NOM(3;SG)	kukičam	kukičam
obećavati	V;PRS;NOM(3;SG)	obećavam	obećavam
konceptualizirati	V;PRS;NOM(3;SG)	konceptualiziram	konceptualiziram
pregovarati	V;PRS;NOM(3;SG)	pregovaram	pregovaram
ribati	V;PRS;NOM(3;SG)	ribam	ribam
upoznati	V;PRS;NOM(3;SG)	upoznam	upoznam
rješavati	V;PRS;NOM(3;SG)	rješavam	rješavam
prskati	V;PRS;NOM(3;SG)	prskam	prskam
isparivati	V;PRS;NOM(3;SG)	isparivam	isparivam
pljeskati	V;PRS;NOM(3;SG)	pljeskam	pljeskam
pozatvarati	V;PRS;NOM(3;SG)	pozatvaram	pozatvaram
naguravati	V;PRS;NOM(3;SG)	naguravam	naguravam
centralizirati	V;PRS;NOM(3;SG)	centraliziram	centraliziram
zbrzati	V;PRS;NOM(3;SG)	zbrzam	zbrzam
žacati	V;PRS;NOM(3;SG)	žacam	žacam
mozgati	V;PRS;NOM(3;SG)	mozgam	mozgam
otežavati	V;PRS;NOM(3;SG)	otežavam	otežavam
prolongirati	V;PRS;NOM(3;SG)	prolongiram	prolongiram
raštrkati	V;PRS;NOM(3;SG)	raštrkam	raštrkam
pripadati	V;PRS;NOM(3;SG)	pripadam	pripadam
legitimirati	V;PRS;NOM(3;SG)	legitimiram	legitimiram
razmatrati	V;PRS;NOM(3;SG)	razmatram	razmatram
ošišati	V;PRS;NOM(3;SG)	ošišam	ošišam
lemati	V;PRS;NOM(3;SG)	lemam	lemam
ukalkulirati	V;PRS;NOM(3;SG)	ukalkuliram	ukalkuliram
išibati	V;PRS;NOM(3;SG)	išibam	išibam
projektirati	V;PRS;NOM(3;SG)	projektiram	projektiram
perforirati	V;PRS;NOM(3;SG)	perforiram	perforiram
osporavati	V;PRS;NOM(3;SG)	osporavam	osporavam
intervjuirati	V;PRS;NOM(3;SG)	intervjuiram	intervjuiram
zaustavljati	V;PRS;NOM(3;SG)	zaustavljam	zaustavljam
varati	V;PRS;NOM(3;SG)	varam	varam
porađati	V;PRS;NOM(3;SG)	porađam	porađam
drenirati	V;PRS;NOM(3;SG)	dreniram	dreniram
razbrbljati	V;PRS;NOM(3;SG)	razbrbljam	razbrbljam
izbjegavati	V;PRS;NOM(3;SG)	izbjegavam	izbjegavam
raspakirati	V;PRS;NOM(3;SG)	raspakiram	raspakiram
obzidati	V;PRS;NOM(3;SG)	obzidam	obzidam
nabijati	V;PRS;NOM(3;SG)	nabijam	nabijam
uviđati	V;PRS;NOM(3;SG)	uviđam	uviđam
emitirati	V;PRS;NOM(3;SG)	emitiram	emitiram
simpatizirati	V;PRS;NOM(3;SG)	simpatiziram	simpatiziram
domišljati	V;PRS;NOM(3;SG)	domišljam	domišljam
spočitavati	V;PRS;NOM(3;SG)	spočitavam	spočitavam
pokidati	V;PRS;NOM(3;SG)	pokidam	pokidam
muljati	V;PRS;NOM(3;SG)	muljam	muljam
kastrirati	V;PRS;NOM(3;SG)	kastriram	kastriram
volontirati	V;PRS;NOM(3;SG)	volontiram	volontiram
rasipati	V;PRS;NOM(3;SG)	rasipam	rasipam
snimati	V;PRS;NOM(3;SG)	snimam	snimam
razbacati	V;PRS;NOM(3;SG)	razbacam	razbacam
paginirati	V;PRS;NOM(3;SG)	paginiram	paginiram
razvrgavati	V;PRS;NOM(3;SG)	razvrgavam	razvrgavam
posvajati	V;PRS;NOM(3;SG)	posvajam	posvajam
proskribirati	V;PRS;NOM(3;SG)	proskribiram	proskribiram
nahodati	V;PRS;NOM(3;SG)	nahodam	nahodam
ojačavati	V;PRS;NOM(3;SG)	ojačavam	ojačavam
pucketati	V;PRS;NOM(3;SG)	pucketam	pucketam
terorizirati	V;PRS;NOM(3;SG)	teroriziram	teroriziram
uljepšavati	V;PRS;NOM(3;SG)	uljepšavam	uljepšavam
senzibilizirati	V;PRS;NOM(3;SG)	senzibiliziram	senzibiliziram
izgustirati	V;PRS;NOM(3;SG)	izgustiram	izgustiram
ojkati	V;PRS;NOM(3;SG)	ojkam	ojkam
kombinirati	V;PRS;NOM(3;SG)	kombiniram	kombiniram
podlokavati	V;PRS;NOM(3;SG)	podlokavam	podlokavam
nagruvati	V;PRS;NOM(3;SG)	nagruvam	nagruvam
divergirati	V;PRS;NOM(3;SG)	divergiram	divergiram
probavljati	V;PRS;NOM(3;SG)	probavljam	probavljam
lelujati	V;PRS;NOM(3;SG)	lelujam	lelujam
odmotati	V;PRS;NOM(3;SG)	odmotam	odmotam
špartati	V;PRS;NOM(3;SG)	špartam	špartam
kartati	V;PRS;NOM(3;SG)	kartam	kartam
karati	V;PRS;NOM(3;SG)	karam	karam
aterirati	V;PRS;NOM(3;SG)	ateriram	ateriram
svrdlati	V;PRS;NOM(3;SG)	svrdlam	svrdlam
ispripovijedati	V;PRS;NOM(3;SG)	ispripovijedam	ispripovijedam
dodijati	V;PRS;NOM(3;SG)	dodijam	dodijam
drljati	V;PRS;NOM(3;SG)	drljam	drljam
saslušati	V;PRS;NOM(3;SG)	saslušam	saslušam
dozvoljavati	V;PRS;NOM(3;SG)	dozvoljavam	dozvoljavam
dragati	V;PRS;NOM(3;SG)	dragam	dragam
paktirati	V;PRS;NOM(3;SG)	paktiram	paktiram
udvarati	V;PRS;NOM(3;SG)	udvaram	udvaram
nabadati	V;PRS;NOM(3;SG)	nabadam	nabadam
urbanizirati	V;PRS;NOM(3;SG)	urbaniziram	urbaniziram
opričati	V;PRS;NOM(3;SG)	opričam	opričam
batinati	V;PRS;NOM(3;SG)	batinam	batinam
šakati	V;PRS;NOM(3;SG)	šakam	šakam
polupati	V;PRS;NOM(3;SG)	polupam	polupam
djelati	V;PRS;NOM(3;SG)	djelam	djelam
iskzcati	V;PRS;NOM(3;SG)	iskzcam	iskzcam
ispravljati	V;PRS;NOM(3;SG)	ispravljam	ispravljam
skzhati	V;PRS;NOM(3;SG)	skzham	skzham
tornjati	V;PRS;NOM(3;SG)	tornjam	tornjam
šarmirati	V;PRS;NOM(3;SG)	šarmiram	šarmiram
iskonstruirati	V;PRS;NOM(3;SG)	iskonstruiram	iskonstruiram
namještati	V;PRS;NOM(3;SG)	namještam	namještam
prakticirati	V;PRS;NOM(3;SG)	prakticiram	prakticiram
maltretirati	V;PRS;NOM(3;SG)	maltretiram	maltretiram
golicati	V;PRS;NOM(3;SG)	golicam	golicam
rondati	V;PRS;NOM(3;SG)	rondam	rondam
vraćati	V;PRS;NOM(3;SG)	vraćam	vraćam
podbadati	V;PRS;NOM(3;SG)	podbadam	podbadam
ukoravati	V;PRS;NOM(3;SG)	ukoravam	ukoravam
bonitirati	V;PRS;NOM(3;SG)	bonitiram	bonitiram
zagledati	V;PRS;NOM(3;SG)	zagledam	zagledam
mobilizirati	V;PRS;NOM(3;SG)	mobiliziram	mobiliziram
prišuljati	V;PRS;NOM(3;SG)	prišuljam	prišuljam
pomiješati	V;PRS;NOM(3;SG)	pomiješam	pomiješam
priopćiti	V;PRS;NOM(3;SG)	priopćikem	priopćikem
nasaditi	V;PRS;NOM(3;SG)	nasadim	nasadim
uvažiti	V;PRS;NOM(3;SG)	uvažim	uvažim
odrubiti	V;PRS;NOM(3;SG)	odrubim	odrubim
ukotviti	V;PRS;NOM(3;SG)	ukotvim	ukotvim
izlijepiti	V;PRS;NOM(3;SG)	izlijepim	izlijepim
preložiti	V;PRS;NOM(3;SG)	preložim	preložim
dojiti	V;PRS;NOM(3;SG)	dojim	dojim
pobilježiti	V;PRS;NOM(3;SG)	pobilježim	pobilježim
proknjižiti	V;PRS;NOM(3;SG)	proknjižim	proknjižim
zacrvenjeti	V;PRS;NOM(3;SG)	zacrvenjmem	zacrvenjmem
pobaciti	V;PRS;NOM(3;SG)	pobacim	pobacim
ukipiti	V;PRS;NOM(3;SG)	ukipim	ukipim
uniziti	V;PRS;NOM(3;SG)	unizim	unizim
slijediti	V;PRS;NOM(3;SG)	slijedim	slijedim
dopustiti	V;PRS;NOM(3;SG)	dopustsem	dopustsem
skrutiti	V;PRS;NOM(3;SG)	skrutmem	skrutmem
bušiti	V;PRS;NOM(3;SG)	bušim	bušim
grmjeti	V;PRS;NOM(3;SG)	grmjmem	grmjmem
namagarčiti	V;PRS;NOM(3;SG)	namagarčim	namagarčim
tuliti	V;PRS;NOM(3;SG)	tulim	tulim
zahiriti	V;PRS;NOM(3;SG)	zahirim	zahirim
izglaviti	V;PRS;NOM(3;SG)	izglavim	izglavim
teretiti	V;PRS;NOM(3;SG)	terem	terem
opismeniti	V;PRS;NOM(3;SG)	opismenim	opismenim
rušiti	V;PRS;NOM(3;SG)	rušim	rušim
izjaloviti	V;PRS;NOM(3;SG)	izjalovim	izjalovim
zakzviti	V;PRS;NOM(3;SG)	zakzvim	zakzvim
razmotriti	V;PRS;NOM(3;SG)	razmotrim	razmotrim
kzšiti	V;PRS;NOM(3;SG)	kzšim	kzšim
hvaliti	V;PRS;NOM(3;SG)	hvalim	hvalim
podijeliti	V;PRS;NOM(3;SG)	podijelim	podijelim
najaviti	V;PRS;NOM(3;SG)	najavim	najavim
pridružiti	V;PRS;NOM(3;SG)	pridružim	pridružim
ušoriti	V;PRS;NOM(3;SG)	ušorim	ušorim
vrijediti	V;PRS;NOM(3;SG)	vrijedim	vrijedim
istrošiti	V;PRS;NOM(3;SG)	istrošim	istrošim
kratiti	V;PRS;NOM(3;SG)	kratim	kratim
šištati	V;PRS;NOM(3;SG)	šištam	šištam
resiti	V;PRS;NOM(3;SG)	resim	resim
nadograditi	V;PRS;NOM(3;SG)	nadogradim	nadogradim
hapsiti	V;PRS;NOM(3;SG)	hapsim	hapsim
raspoložiti	V;PRS;NOM(3;SG)	raspoložim	raspoložim
ožednjeti	V;PRS;NOM(3;SG)	ožednjmem	ožednjmem
razletjeti	V;PRS;NOM(3;SG)	razletjmem	razletjmem
pobrojati	V;PRS;NOM(3;SG)	pobrojam	pobrojam
staviti	V;PRS;NOM(3;SG)	stavim	stavim
žudjeti	V;PRS;NOM(3;SG)	žudjmem	žudjmem
zahvaliti	V;PRS;NOM(3;SG)	zahvalim	zahvalim
uresiti	V;PRS;NOM(3;SG)	uresim	uresim
lemiti	V;PRS;NOM(3;SG)	lemim	lemim
kititi	V;PRS;NOM(3;SG)	kitim	kitim
zarušiti	V;PRS;NOM(3;SG)	zarušim	zarušim
pohoditi	V;PRS;NOM(3;SG)	pohodim	pohodim
nastaviti	V;PRS;NOM(3;SG)	nastavim	nastavim
zasvjedočiti	V;PRS;NOM(3;SG)	zasvjedočim	zasvjedočim
odmjeriti	V;PRS;NOM(3;SG)	odmjerim	odmjerim
omasoviti	V;PRS;NOM(3;SG)	omasovim	omasovim
svzbjeti	V;PRS;NOM(3;SG)	svzbjmem	svzbjmem
utoliti	V;PRS;NOM(3;SG)	utolim	utolim
brujati	V;PRS;NOM(3;SG)	brujam	brujam
nataložiti	V;PRS;NOM(3;SG)	nataložim	nataložim
pregaziti	V;PRS;NOM(3;SG)	pregazim	pregazim
zapuniti	V;PRS;NOM(3;SG)	zapunim	zapunim
kilaviti	V;PRS;NOM(3;SG)	kilavim	kilavim
ozloglasiti	V;PRS;NOM(3;SG)	ozloglasim	ozloglasim
iskositi	V;PRS;NOM(3;SG)	iskosim	iskosim
krpiti	V;PRS;NOM(3;SG)	krpim	krpim
isprositi	V;PRS;NOM(3;SG)	isprosim	isprosim
prekupiti	V;PRS;NOM(3;SG)	prekupim	prekupim
ukorijeniti	V;PRS;NOM(3;SG)	ukorijenim	ukorijenim
pridržati	V;PRS;NOM(3;SG)	pridržam	pridržam
ocariniti	V;PRS;NOM(3;SG)	ocarinim	ocarinim
ucviliti	V;PRS;NOM(3;SG)	ucvilim	ucvilim
naslijediti	V;PRS;NOM(3;SG)	naslijedim	naslijedim
spariti	V;PRS;NOM(3;SG)	sparim	sparim
isprazniti	V;PRS;NOM(3;SG)	ispraznim	ispraznim
nagliti	V;PRS;NOM(3;SG)	naglim	naglim
krvariti	V;PRS;NOM(3;SG)	krvarim	krvarim
naperiti	V;PRS;NOM(3;SG)	naperim	naperim
paliti	V;PRS;NOM(3;SG)	palim	palim
omeđiti	V;PRS;NOM(3;SG)	omeđim	omeđim
kamčiti	V;PRS;NOM(3;SG)	kamčim	kamčim
razdijeliti	V;PRS;NOM(3;SG)	razdijelim	razdijelim
pratiti	V;PRS;NOM(3;SG)	pratim	pratim
živjeti	V;PRS;NOM(3;SG)	živjmem	živjmem
zagustiti	V;PRS;NOM(3;SG)	zagustsem	zagustsem
oštetiti	V;PRS;NOM(3;SG)	oštetmem	oštetmem
proizlaziti	V;PRS;NOM(3;SG)	proizlazim	proizlazim
iskorijeniti	V;PRS;NOM(3;SG)	iskorijenim	iskorijenim
sklopiti	V;PRS;NOM(3;SG)	sklopim	sklopim
pješačiti	V;PRS;NOM(3;SG)	pješačim	pješačim
spasiti	V;PRS;NOM(3;SG)	spasim	spasim
okupiti	V;PRS;NOM(3;SG)	okupim	okupim
uozbiljiti	V;PRS;NOM(3;SG)	uozbiljim	uozbiljim
uspaliti	V;PRS;NOM(3;SG)	uspalim	uspalim
dogotoviti	V;PRS;NOM(3;SG)	dogotovim	dogotovim
zapjeniti	V;PRS;NOM(3;SG)	zapjenim	zapjenim
zavlačiti	V;PRS;NOM(3;SG)	zavlačim	zavlačim
naturiti	V;PRS;NOM(3;SG)	naturim	naturim
kasniti	V;PRS;NOM(3;SG)	kasnim	kasnim
pomoriti	V;PRS;NOM(3;SG)	pomorim	pomorim
prelomiti	V;PRS;NOM(3;SG)	prelomim	prelomim
pošašaviti	V;PRS;NOM(3;SG)	pošašavim	pošašavim
kalemiti	V;PRS;NOM(3;SG)	kalemim	kalemim
naseliti	V;PRS;NOM(3;SG)	naselim	naselim
okaniti	V;PRS;NOM(3;SG)	okanim	okanim
uslišiti	V;PRS;NOM(3;SG)	uslišim	uslišim
prikratiti	V;PRS;NOM(3;SG)	prikratim	prikratim
prehraniti	V;PRS;NOM(3;SG)	prehranim	prehranim
popustiti	V;PRS;NOM(3;SG)	popustsem	popustsem
posrebriti	V;PRS;NOM(3;SG)	posrebrim	posrebrim
osiromašiti	V;PRS;NOM(3;SG)	osiromašim	osiromašim
zamijetiti	V;PRS;NOM(3;SG)	zamijetmem	zamijetmem
poraditi	V;PRS;NOM(3;SG)	poradim	poradim
raspremiti	V;PRS;NOM(3;SG)	raspremim	raspremim
ojaditi	V;PRS;NOM(3;SG)	ojadim	ojadim
ishitriti	V;PRS;NOM(3;SG)	ishitrim	ishitrim
kalupiti	V;PRS;NOM(3;SG)	kalupim	kalupim
pariti	V;PRS;NOM(3;SG)	parim	parim
mastiti	V;PRS;NOM(3;SG)	mastsem	mastsem
zuriti	V;PRS;NOM(3;SG)	zurim	zurim
toviti	V;PRS;NOM(3;SG)	tovim	tovim
zgaziti	V;PRS;NOM(3;SG)	zgazim	zgazim
pogaziti	V;PRS;NOM(3;SG)	pogazim	pogazim
sukobiti	V;PRS;NOM(3;SG)	sukobim	sukobim
održati	V;PRS;NOM(3;SG)	održam	održam
urediti	V;PRS;NOM(3;SG)	uredim	uredim
optočiti	V;PRS;NOM(3;SG)	optočim	optočim
graditi	V;PRS;NOM(3;SG)	gradim	gradim
odseliti	V;PRS;NOM(3;SG)	odselim	odselim
bogoraditi	V;PRS;NOM(3;SG)	bogoradim	bogoradim
kotiti	V;PRS;NOM(3;SG)	kotim	kotim
porubiti	V;PRS;NOM(3;SG)	porubim	porubim
zasniježiti	V;PRS;NOM(3;SG)	zasniježim	zasniježim
glušiti	V;PRS;NOM(3;SG)	glušim	glušim
izmožditi	V;PRS;NOM(3;SG)	izmoždim	izmoždim
mokriti	V;PRS;NOM(3;SG)	mokrim	mokrim
prikupiti	V;PRS;NOM(3;SG)	prikupim	prikupim
izmučiti	V;PRS;NOM(3;SG)	izmučim	izmučim
smutiti	V;PRS;NOM(3;SG)	smutmem	smutmem
ježiti	V;PRS;NOM(3;SG)	ježim	ježim
usmrtiti	V;PRS;NOM(3;SG)	usmrtim	usmrtim
gladiti	V;PRS;NOM(3;SG)	gladim	gladim
telaliti	V;PRS;NOM(3;SG)	telalim	telalim
krijumčariti	V;PRS;NOM(3;SG)	krijumčarim	krijumčarim
opaliti	V;PRS;NOM(3;SG)	opalim	opalim
krpariti	V;PRS;NOM(3;SG)	krparim	krparim
zablatiti	V;PRS;NOM(3;SG)	zablatim	zablatim
nagrabiti	V;PRS;NOM(3;SG)	nagrabim	nagrabim
skužiti	V;PRS;NOM(3;SG)	skužim	skužim
preplaviti	V;PRS;NOM(3;SG)	preplavim	preplavim
cmizdriti	V;PRS;NOM(3;SG)	cmizdrim	cmizdrim
zagospodariti	V;PRS;NOM(3;SG)	zagospodarim	zagospodarim
jutriti	V;PRS;NOM(3;SG)	jutrim	jutrim
preplašiti	V;PRS;NOM(3;SG)	preplašim	preplašim
tražiti	V;PRS;NOM(3;SG)	tražim	tražim
kružiti	V;PRS;NOM(3;SG)	kružim	kružim
dodijeliti	V;PRS;NOM(3;SG)	dodijelim	dodijelim
isključiti	V;PRS;NOM(3;SG)	isključim	isključim
prisiliti	V;PRS;NOM(3;SG)	prisilim	prisilim
poludjeti	V;PRS;NOM(3;SG)	poludjmem	poludjmem
izostaviti	V;PRS;NOM(3;SG)	izostavim	izostavim
kriviti	V;PRS;NOM(3;SG)	krivim	krivim
grstiti	V;PRS;NOM(3;SG)	grstsem	grstsem
porazmjestiti	V;PRS;NOM(3;SG)	porazmjestsem	porazmjestsem
zaobilaziti	V;PRS;NOM(3;SG)	zaobilazim	zaobilazim
zagušiti	V;PRS;NOM(3;SG)	zagušim	zagušim
razglasiti	V;PRS;NOM(3;SG)	razglasim	razglasim
štetiti	V;PRS;NOM(3;SG)	štetmem	štetmem
rashladiti	V;PRS;NOM(3;SG)	rashladim	rashladim
zagraditi	V;PRS;NOM(3;SG)	zagradim	zagradim
zabrtviti	V;PRS;NOM(3;SG)	zabrtvim	zabrtvim
priskočiti	V;PRS;NOM(3;SG)	priskočim	priskočim
zaprašiti	V;PRS;NOM(3;SG)	zaprašim	zaprašim
krstariti	V;PRS;NOM(3;SG)	krstarim	krstarim
poraziti	V;PRS;NOM(3;SG)	porazim	porazim
zatreperiti	V;PRS;NOM(3;SG)	zatreperim	zatreperim
kupiti	V;PRS;NOM(3;SG)	kupim	kupim
spremiti	V;PRS;NOM(3;SG)	spremim	spremim
mandaliti	V;PRS;NOM(3;SG)	mandalim	mandalim
zamijesiti	V;PRS;NOM(3;SG)	zamijesim	zamijesim
pregrmjeti	V;PRS;NOM(3;SG)	pregrmjmem	pregrmjmem
prštati	V;PRS;NOM(3;SG)	prštam	prštam
pokupiti	V;PRS;NOM(3;SG)	pokupim	pokupim
pospješiti	V;PRS;NOM(3;SG)	pospješim	pospješim
usplahiriti	V;PRS;NOM(3;SG)	usplahirim	usplahirim
prevaliti	V;PRS;NOM(3;SG)	prevalim	prevalim
grubjeti	V;PRS;NOM(3;SG)	grubjmem	grubjmem
izdovoljiti	V;PRS;NOM(3;SG)	izdovoljim	izdovoljim
nauditi	V;PRS;NOM(3;SG)	naudim	naudim
prigrliti	V;PRS;NOM(3;SG)	prigrlim	prigrlim
izmjeniti	V;PRS;NOM(3;SG)	izmjenim	izmjenim
